trip_id,start_time,end_time,headway_secs,exact_times
R_SOTRACO_9_8894256,05:30:00,06:00:00,1800,0
R_SOTRACO_9_8894256,06:00:00,18:00:00,1200,0
R_SOTRACO_9_8894256,18:00:00,19:30:00,1800,0
R_SOTRACO_9_8894256,19:30:00,21:30:00,2700,0
R_SOTRACO_9_8894257,05:30:00,06:00:00,1800,0
R_SOTRACO_9_8894257,06:00:00,18:00:00,1200,0
R_SOTRACO_9_8894257,18:00:00,19:30:00,1800,0
R_SOTRACO_9_8894257,19:30:00,21:30:00,2700,0
R_SOTRACO_6_8894878,05:30:00,06:00:00,1800,0
R_SOTRACO_6_8894878,06:00:00,18:00:00,1200,0
R_SOTRACO_6_8894878,18:00:00,19:30:00,1800,0
R_SOTRACO_6_8894878,19:30:00,21:30:00,2700,0
R_SOTRACO_6_8894879,05:30:00,06:00:00,1800,0
R_SOTRACO_6_8894879,06:00:00,18:00:00,1200,0
R_SOTRACO_6_8894879,18:00:00,19:30:00,1800,0
R_SOTRACO_6_8894879,19:30:00,21:30:00,2700,0
R_SOTRACO_5_8895024,05:30:00,06:00:00,1800,0
R_SOTRACO_5_8895024,06:00:00,18:00:00,1200,0
R_SOTRACO_5_8895024,18:00:00,19:30:00,1800,0
R_SOTRACO_5_8895024,19:30:00,21:30:00,2700,0
R_SOTRACO_5_8895025,05:30:00,06:00:00,1800,0
R_SOTRACO_5_8895025,06:00:00,18:00:00,1200,0
R_SOTRACO_5_8895025,18:00:00,19:30:00,1800,0
R_SOTRACO_5_8895025,19:30:00,21:30:00,2700,0
R_SOTRACO_3_8895111,05:30:00,06:00:00,1800,0
R_SOTRACO_3_8895111,06:00:00,18:00:00,1200,0
R_SOTRACO_3_8895111,18:00:00,19:30:00,1800,0
R_SOTRACO_3_8895111,19:30:00,21:30:00,2700,0
R_SOTRACO_3_8895112,05:30:00,06:00:00,1800,0
R_SOTRACO_3_8895112,06:00:00,18:00:00,1200,0
R_SOTRACO_3_8895112,18:00:00,19:30:00,1800,0
R_SOTRACO_3_8895112,19:30:00,21:30:00,2700,0
R_SOTRACO_10_8895147,05:30:00,06:00:00,1800,0
R_SOTRACO_10_8895147,06:00:00,18:00:00,1200,0
R_SOTRACO_10_8895147,18:00:00,19:30:00,1800,0
R_SOTRACO_10_8895147,19:30:00,21:30:00,2700,0
R_SOTRACO_10_8895148,05:30:00,06:00:00,1800,0
R_SOTRACO_10_8895148,06:00:00,18:00:00,1200,0
R_SOTRACO_10_8895148,18:00:00,19:30:00,1800,0
R_SOTRACO_10_8895148,19:30:00,21:30:00,2700,0
R_SOTRACO_1_8895245,05:30:00,06:00:00,1800,0
R_SOTRACO_1_8895245,06:00:00,18:00:00,1200,0
R_SOTRACO_1_8895245,18:00:00,19:30:00,1800,0
R_SOTRACO_1_8895245,19:30:00,21:30:00,2700,0
R_SOTRACO_1_8895246,05:30:00,06:00:00,1800,0
R_SOTRACO_1_8895246,06:00:00,18:00:00,1200,0
R_SOTRACO_1_8895246,18:00:00,19:30:00,1800,0
R_SOTRACO_1_8895246,19:30:00,21:30:00,2700,0
R_SOTRACO_2_8895590,05:30:00,06:00:00,1800,0
R_SOTRACO_2_8895590,06:00:00,18:00:00,1200,0
R_SOTRACO_2_8895590,18:00:00,19:30:00,1800,0
R_SOTRACO_2_8895590,19:30:00,21:30:00,2700,0
R_SOTRACO_2_8895591,05:30:00,06:00:00,1800,0
R_SOTRACO_2_8895591,06:00:00,18:00:00,1200,0
R_SOTRACO_2_8895591,18:00:00,19:30:00,1800,0
R_SOTRACO_2_8895591,19:30:00,21:30:00,2700,0
R_SOTRACO_4_8895793,05:30:00,06:00:00,1800,0
R_SOTRACO_4_8895793,06:00:00,18:00:00,1200,0
R_SOTRACO_4_8895793,18:00:00,19:30:00,1800,0
R_SOTRACO_4_8895793,19:30:00,21:30:00,2700,0
R_SOTRACO_4_8895794,05:30:00,06:00:00,1800,0
R_SOTRACO_4_8895794,06:00:00,18:00:00,1200,0
R_SOTRACO_4_8895794,18:00:00,19:30:00,1800,0
R_SOTRACO_4_8895794,19:30:00,21:30:00,2700,0
R_SOTRACO_8_8896088,05:30:00,06:00:00,1800,0
R_SOTRACO_8_8896088,06:00:00,18:00:00,1200,0
R_SOTRACO_8_8896088,18:00:00,19:30:00,1800,0
R_SOTRACO_8_8896088,19:30:00,21:30:00,2700,0
R_SOTRACO_8_8896089,05:30:00,06:00:00,1800,0
R_SOTRACO_8_8896089,06:00:00,18:00:00,1200,0
R_SOTRACO_8_8896089,18:00:00,19:30:00,1800,0
R_SOTRACO_8_8896089,19:30:00,21:30:00,2700,0
R_SOTRACO_41_8896258,05:30:00,06:00:00,1800,0
R_SOTRACO_41_8896258,06:00:00,18:00:00,1200,0
R_SOTRACO_41_8896258,18:00:00,19:30:00,1800,0
R_SOTRACO_41_8896258,19:30:00,21:30:00,2700,0
R_SOTRACO_41_8896259,05:30:00,06:00:00,1800,0
R_SOTRACO_41_8896259,06:00:00,18:00:00,1200,0
R_SOTRACO_41_8896259,18:00:00,19:30:00,1800,0
R_SOTRACO_41_8896259,19:30:00,21:30:00,2700,0
R_SOTRACO_40_8896419,05:30:00,06:00:00,1800,0
R_SOTRACO_40_8896419,06:00:00,18:00:00,1200,0
R_SOTRACO_40_8896419,18:00:00,19:30:00,1800,0
R_SOTRACO_40_8896419,19:30:00,21:30:00,2700,0
R_SOTRACO_44_8896420,05:30:00,06:00:00,1800,0
R_SOTRACO_44_8896420,06:00:00,18:00:00,1200,0
R_SOTRACO_44_8896420,18:00:00,19:30:00,1800,0
R_SOTRACO_44_8896420,19:30:00,21:30:00,2700,0
R_SOTRACO_2B_12870553,05:30:00,06:00:00,1800,0
R_SOTRACO_2B_12870553,06:00:00,18:00:00,1200,0
R_SOTRACO_2B_12870553,18:00:00,19:30:00,1800,0
R_SOTRACO_2B_12870553,19:30:00,21:30:00,2700,0
R_SOTRACO_1B_12874394,05:30:00,06:00:00,1800,0
R_SOTRACO_1B_12874394,06:00:00,18:00:00,1200,0
R_SOTRACO_1B_12874394,18:00:00,19:30:00,1800,0
R_SOTRACO_1B_12874394,19:30:00,21:30:00,2700,0
R_SOTRACO_1B_12875511,05:30:00,06:00:00,1800,0
R_SOTRACO_1B_12875511,06:00:00,18:00:00,1200,0
R_SOTRACO_1B_12875511,18:00:00,19:30:00,1800,0
R_SOTRACO_1B_12875511,19:30:00,21:30:00,2700,0
R_SOTRACO_7_12884462,05:30:00,06:00:00,1800,0
R_SOTRACO_7_12884462,06:00:00,18:00:00,1200,0
R_SOTRACO_7_12884462,18:00:00,19:30:00,1800,0
R_SOTRACO_7_12884462,19:30:00,21:30:00,2700,0
R_SOTRACO_7_12884722,05:30:00,06:00:00,1800,0
R_SOTRACO_7_12884722,06:00:00,18:00:00,1200,0
R_SOTRACO_7_12884722,18:00:00,19:30:00,1800,0
R_SOTRACO_7_12884722,19:30:00,21:30:00,2700,0
R_SOTRACO_L9_12887111,05:30:00,06:00:00,1800,0
R_SOTRACO_L9_12887111,06:00:00,18:00:00,1200,0
R_SOTRACO_L9_12887111,18:00:00,19:30:00,1800,0
R_SOTRACO_L9_12887111,19:30:00,21:30:00,2700,0
R_SOTRACO_L9_12887244,05:30:00,06:00:00,1800,0
R_SOTRACO_L9_12887244,06:00:00,18:00:00,1200,0
R_SOTRACO_L9_12887244,18:00:00,19:30:00,1800,0
R_SOTRACO_L9_12887244,19:30:00,21:30:00,2700,0
R_SOTRACO_2B_12891025,05:30:00,06:00:00,1800,0
R_SOTRACO_2B_12891025,06:00:00,18:00:00,1200,0
R_SOTRACO_2B_12891025,18:00:00,19:30:00,1800,0
R_SOTRACO_2B_12891025,19:30:00,21:30:00,2700,0
R_SOTRACO_42_12916184,05:30:00,06:00:00,1800,0
R_SOTRACO_42_12916184,06:00:00,18:00:00,1200,0
R_SOTRACO_42_12916184,18:00:00,19:30:00,1800,0
R_SOTRACO_42_12916184,19:30:00,21:30:00,2700,0
R_SOTRACO_42_12916185,05:30:00,06:00:00,1800,0
R_SOTRACO_42_12916185,06:00:00,18:00:00,1200,0
R_SOTRACO_42_12916185,18:00:00,19:30:00,1800,0
R_SOTRACO_42_12916185,19:30:00,21:30:00,2700,0
R_SOTRACO_44_12931143,05:30:00,06:00:00,1800,0
R_SOTRACO_44_12931143,06:00:00,18:00:00,1200,0
R_SOTRACO_44_12931143,18:00:00,19:30:00,1800,0
R_SOTRACO_44_12931143,19:30:00,21:30:00,2700,0
