trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R_SOTRACO_9_8894256,00:00:00,00:00:00,OSM6033394130,1,0,0
R_SOTRACO_9_8894256,00:07:41,00:07:41,OSM6033394113,2,0,0
R_SOTRACO_9_8894256,00:22:56,00:22:56,OSM6035249418,3,0,0
R_SOTRACO_9_8894256,00:28:57,00:28:57,OSM6033340578,4,0,0
R_SOTRACO_9_8894256,00:36:24,00:36:24,OSM6033394118,5,0,0
R_SOTRACO_9_8894256,00:40:32,00:40:32,OSM6033185829,6,0,0
R_SOTRACO_9_8894256,00:52:24,00:52:24,OSM6033304278,7,0,0
R_SOTRACO_9_8894256,01:05:38,01:05:38,OSM6033394117,8,0,0
R_SOTRACO_9_8894256,01:09:47,01:09:47,OSM6033185797,9,0,0
R_SOTRACO_9_8894256,01:16:12,01:16:12,OSM6033394109,10,0,0
R_SOTRACO_9_8894256,01:33:30,01:33:30,OSM6033298120,11,0,0
R_SOTRACO_9_8894256,01:39:28,01:39:28,OSM6033340575,12,0,0
R_SOTRACO_9_8894256,01:43:46,01:43:46,OSM6033313984,13,0,0
R_SOTRACO_9_8894256,01:46:12,01:46:12,OSM6033340581,14,0,0
R_SOTRACO_9_8894256,02:05:29,02:05:29,OSM6033192540,15,0,0
R_SOTRACO_9_8894256,02:22:53,02:22:53,OSM6033394142,16,0,0
R_SOTRACO_9_8894256,02:25:32,02:25:32,OSM6033394133,17,0,0
R_SOTRACO_9_8894256,02:39:47,02:39:47,OSM6033394100,18,0,0
R_SOTRACO_9_8894256,02:43:09,02:43:09,OSM6033394106,19,0,0
R_SOTRACO_9_8894256,02:47:20,02:47:20,OSM6033394096,20,0,0
R_SOTRACO_9_8894256,02:58:27,02:58:27,OSM6033186534,21,0,0
R_SOTRACO_9_8894256,03:02:19,03:02:19,OSM6033394126,22,0,0
R_SOTRACO_9_8894256,03:11:15,03:11:15,OSM6033345486,23,0,0
R_SOTRACO_9_8894256,03:29:11,03:29:11,OSM6033394104,24,0,0
R_SOTRACO_9_8894256,03:47:22,03:47:22,OSM6033298114,25,0,0
R_SOTRACO_9_8894256,03:51:25,03:51:25,OSM6033394138,26,0,0
R_SOTRACO_9_8894256,03:56:15,03:56:15,OSM6033394122,27,0,0
R_SOTRACO_9_8894256,04:09:24,04:09:24,OSM6033192305,28,0,0
R_SOTRACO_9_8894257,00:00:00,00:00:00,OSM6033192539,1,0,0
R_SOTRACO_9_8894257,00:01:20,00:01:20,OSM6033192304,2,0,0
R_SOTRACO_9_8894257,00:02:42,00:02:42,OSM6033394097,3,0,0
R_SOTRACO_9_8894257,00:04:04,00:04:04,OSM6033394101,4,0,0
R_SOTRACO_9_8894257,00:06:11,00:06:11,OSM6033394105,5,0,0
R_SOTRACO_9_8894257,00:07:45,00:07:45,OSM6033394107,6,0,0
R_SOTRACO_9_8894257,00:09:57,00:09:57,OSM6033394110,7,0,0
R_SOTRACO_9_8894257,00:12:05,00:12:05,OSM6033394112,8,0,0
R_SOTRACO_9_8894257,00:13:04,00:13:04,OSM6033394116,9,0,0
R_SOTRACO_9_8894257,00:15:08,00:15:08,OSM6033185828,10,0,0
R_SOTRACO_9_8894257,00:16:31,00:16:31,OSM6033186533,11,0,0
R_SOTRACO_9_8894257,00:18:07,00:18:07,OSM6033185796,12,0,0
R_SOTRACO_9_8894257,00:19:55,00:19:55,OSM6033394118,13,0,0
R_SOTRACO_9_8894257,00:21:22,00:21:22,OSM6033394121,14,0,0
R_SOTRACO_9_8894257,00:22:35,00:22:35,OSM6033394125,15,0,0
R_SOTRACO_9_8894257,00:24:45,00:24:45,OSM6033394129,16,0,0
R_SOTRACO_9_8894257,00:26:22,00:26:22,OSM6033394132,17,0,0
R_SOTRACO_9_8894257,00:28:16,00:28:16,OSM6033394137,18,0,0
R_SOTRACO_9_8894257,00:29:50,00:29:50,OSM6033394141,19,0,0
R_SOTRACO_9_8894257,00:31:33,00:31:33,OSM6033340574,20,0,0
R_SOTRACO_9_8894257,00:33:47,00:33:47,OSM6033340579,21,0,0
R_SOTRACO_9_8894257,00:35:22,00:35:22,OSM6033340582,22,0,0
R_SOTRACO_9_8894257,00:37:01,00:37:01,OSM6033345485,23,0,0
R_SOTRACO_9_8894257,00:38:40,00:38:40,OSM6033313983,24,0,0
R_SOTRACO_9_8894257,00:40:40,00:40:40,OSM6033304274,25,0,0
R_SOTRACO_9_8894257,00:42:31,00:42:31,OSM6033304279,26,0,0
R_SOTRACO_9_8894257,00:44:17,00:44:17,OSM6033298234,27,0,0
R_SOTRACO_9_8894257,00:45:24,00:45:24,OSM6033298116,28,0,0
R_SOTRACO_9_8894257,00:47:14,00:47:14,OSM6033298118,29,0,0
R_SOTRACO_9_8894257,00:48:10,00:48:10,OSM6033298120,30,0,0
R_SOTRACO_6_8894878,00:00:00,00:00:00,OSM8857934511,1,0,0
R_SOTRACO_6_8894878,00:02:35,00:02:35,OSM8857928524,2,0,0
R_SOTRACO_6_8894878,00:04:04,00:04:04,OSM8857915242,3,0,0
R_SOTRACO_6_8894878,00:05:41,00:05:41,OSM8857915244,4,0,0
R_SOTRACO_6_8894878,00:07:41,00:07:41,OSM8857920123,5,0,0
R_SOTRACO_6_8894878,00:09:13,00:09:13,OSM8857920125,6,0,0
R_SOTRACO_6_8894878,00:17:06,00:17:06,OSM6033197048,7,0,0
R_SOTRACO_6_8894878,00:18:30,00:18:30,OSM6033196033,8,0,0
R_SOTRACO_6_8894878,00:20:02,00:20:02,OSM6033196700,9,0,0
R_SOTRACO_6_8894878,00:21:26,00:21:26,OSM6033449963,10,0,0
R_SOTRACO_6_8894878,00:23:18,00:23:18,OSM6033449967,11,0,0
R_SOTRACO_6_8894878,00:24:56,00:24:56,OSM6033449971,12,0,0
R_SOTRACO_6_8894878,00:27:05,00:27:05,OSM6033449974,13,0,0
R_SOTRACO_6_8894878,00:28:29,00:28:29,OSM6033449979,14,0,0
R_SOTRACO_6_8894878,00:29:50,00:29:50,OSM6033449983,15,0,0
R_SOTRACO_6_8894878,00:31:29,00:31:29,OSM6033450287,16,0,0
R_SOTRACO_6_8894878,00:33:55,00:33:55,OSM6033450290,17,0,0
R_SOTRACO_6_8894878,00:35:11,00:35:11,OSM6033450294,18,0,0
R_SOTRACO_6_8894878,00:36:54,00:36:54,OSM6033450298,19,0,0
R_SOTRACO_6_8894878,00:38:44,00:38:44,OSM6033394122,20,0,0
R_SOTRACO_6_8894878,00:40:16,00:40:16,OSM6033394118,21,0,0
R_SOTRACO_6_8894879,00:00:00,00:00:00,OSM8853396423,1,0,0
R_SOTRACO_6_8894879,00:14:18,00:14:18,OSM8857762195,2,0,0
R_SOTRACO_6_8894879,00:15:43,00:15:43,OSM8857762193,3,0,0
R_SOTRACO_6_8894879,00:17:22,00:17:22,OSM8857818946,4,0,0
R_SOTRACO_6_8894879,00:19:26,00:19:26,OSM8857818944,5,0,0
R_SOTRACO_6_8894879,00:22:19,00:22:19,OSM8857837614,6,0,0
R_SOTRACO_5_8895024,00:00:00,00:00:00,OSM6033529255,1,0,0
R_SOTRACO_5_8895024,00:04:21,00:04:21,OSM6033529258,2,0,0
R_SOTRACO_5_8895024,00:08:39,00:08:39,OSM6033529263,3,0,0
R_SOTRACO_5_8895024,00:14:19,00:14:19,OSM6033529266,4,0,0
R_SOTRACO_5_8895024,00:18:03,00:18:03,OSM6033529271,5,0,0
R_SOTRACO_5_8895024,00:21:05,00:21:05,OSM6033529274,6,0,0
R_SOTRACO_5_8895024,00:23:58,00:23:58,OSM6033529277,7,0,0
R_SOTRACO_5_8895024,00:25:16,00:25:16,OSM6033529281,8,0,0
R_SOTRACO_5_8895024,00:29:04,00:29:04,OSM6033530386,9,0,0
R_SOTRACO_5_8895024,00:30:45,00:30:45,OSM6033530389,10,0,0
R_SOTRACO_5_8895024,00:32:59,00:32:59,OSM6033530393,11,0,0
R_SOTRACO_5_8895024,00:35:00,00:35:00,OSM6033530397,12,0,0
R_SOTRACO_5_8895024,00:36:35,00:36:35,OSM6033530399,13,0,0
R_SOTRACO_5_8895024,00:38:39,00:38:39,OSM6033530403,14,0,0
R_SOTRACO_5_8895024,00:43:06,00:43:06,OSM6033185828,15,0,0
R_SOTRACO_5_8895024,00:44:29,00:44:29,OSM6033186533,16,0,0
R_SOTRACO_5_8895024,00:46:04,00:46:04,OSM6033185796,17,0,0
R_SOTRACO_5_8895024,00:47:52,00:47:52,OSM6033394118,18,0,0
R_SOTRACO_5_8895025,00:00:00,00:00:00,OSM6033394118,1,0,0
R_SOTRACO_5_8895025,00:01:48,00:01:48,OSM6033185797,2,0,0
R_SOTRACO_5_8895025,00:03:23,00:03:23,OSM6033186534,3,0,0
R_SOTRACO_5_8895025,00:04:48,00:04:48,OSM6033185829,4,0,0
R_SOTRACO_5_8895025,00:05:42,00:05:42,OSM6033530410,5,0,0
R_SOTRACO_5_8895025,00:07:59,00:07:59,OSM6033530409,6,0,0
R_SOTRACO_5_8895025,00:09:17,00:09:17,OSM6033530406,7,0,0
R_SOTRACO_5_8895025,00:10:19,00:10:19,OSM6033530404,8,0,0
R_SOTRACO_5_8895025,00:12:40,00:12:40,OSM6033530402,9,0,0
R_SOTRACO_5_8895025,00:14:05,00:14:05,OSM6033530398,10,0,0
