stop_id,stop_name,stop_lat,stop_lon
OSM6033394130,SONABEL Accart-ville,11.1824317,-4.3079804
OSM6033394113,Théatre de l'Amitié,11.1695947,-4.2925885
OSM6035249418,Complexe scolaire Alpha Solidarité,11.1898111,-4.3280675
OSM6033340578,Plateau Yéguéré,11.1957891,-4.3136519
OSM6033394118,Place Tiéfo Amoro,11.1780124,-4.3063295
OSM6033185829,Trésor public,11.1704643,-4.299231
OSM6033304278,LE PATRO,11.1934277,-4.3206257
OSM6033394117,Institut Français,11.1694355,-4.2948979
OSM6033185797,DR SONABEL,11.1750127,-4.303705
OSM6033394109,Ecole Nouvelle,11.1700197,-4.2877632
OSM6033298120,Terminus Stade Sangoulé LAMIZANA,11.1900361,-4.3296955
OSM6033340575,Pharmacie Vitalis,11.1913832,-4.3142433
OSM6033313984,CMA de DO,11.2009067,-4.3192269
OSM6033340581,Lycée le TREMPLIN,11.1992254,-4.3137176
OSM6033192540,ENEP BOBO,11.1684152,-4.2721132
OSM6033394142,Lycée mixte d'Accart-ville,11.187639,-4.3147637
OSM6033394133,Club SONABEL,11.1828159,-4.3107457
OSM6033394100,Restaurant Orphée,11.1719366,-4.274084
OSM6033394106,Cours Moderne Saint André,11.1704052,-4.282254
OSM6033394096,Lycée Ouezzin COULIBALY,11.1718051,-4.271737
OSM6033186534,DR SONAPOST,11.1725656,-4.3013459
OSM6033394126,Lycée le bon berger,11.1818397,-4.3035648
OSM6033345486,Pharmacie Jolean,11.2020368,-4.3152572
OSM6033394104,DR/ MTMUSR,11.1710735,-4.2785391
OSM6033298114,Guichet unique foncier,11.1892809,-4.3239556
OSM6033394138,Station SKI,11.1839888,-4.3152673
OSM6033394122,Brigade de Gendarmerie,11.1798583,-4.3036379
OSM6033192305,CITE CNSS,11.1708012,-4.2695899
OSM6033192539,ENEP,11.1688875,-4.2711188
OSM6033192304,CITE CNSS,11.1708222,-4.2691768
OSM6033394097,Lycée Ouezzin COULIBALY,11.1719498,-4.2717558
OSM6033394101,Restaurant Orphée,11.1720761,-4.2745936
OSM6033394105,DR/ MTMUSR,11.170892,-4.2793572
OSM6033394107,Cours Moderne Saint André,11.1704815,-4.2827073
OSM6033394110,Ecole Nouvelle,11.1700749,-4.2878484
OSM6033394112,Théatre de l'Amitié,11.169671,-4.2927414
OSM6033394116,Institut Français,11.1695171,-4.2945506
OSM6033185828,DR LONAB,11.1706065,-4.2992029
OSM6033186533,DR SONAPOST,11.172705,-4.3011394
OSM6033185796,DR SONABEL,11.1751245,-4.3035467
OSM6033394121,Brigade de Gendarmerie,11.1796702,-4.3037854
OSM6033394125,Lycée le bon berger,11.1817357,-4.3025556
OSM6033394129,SONABEL Accart-ville,11.1824291,-4.3075767
OSM6033394132,Club SONABEL,11.182904,-4.3110542
OSM6033394137,Station SKI,11.1838862,-4.3152552
OSM6033394141,Lycée mixte d'Accart-ville,11.1871917,-4.3147892
OSM6033340574,Pharmacie Vitalis,11.1908701,-4.3142742
OSM6033340579,Plateau Yéguéré,11.1959417,-4.3135929
OSM6033340582,Lycée le TREMPLIN,11.1993162,-4.3136667
OSM6033345485,Pharmacie Jolean,11.2024393,-4.3153954
OSM6033313983,CMA de DO,11.2012238,-4.3187924
OSM6033304274,Complexe Scolaire LE SAVOIR,11.1969271,-4.3202314
OSM6033304279,LE PATRO,11.1928988,-4.320792
OSM6033298234,SNC,11.1891769,-4.3218192
OSM6033298116,Guichet unique foncier,11.1894697,-4.3239972
