route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
R_SOTRACO_9,DAILY,R_SOTRACO_9_8894256,ENEP,0,SHAPE_8894256
R_SOTRACO_9,DAILY,R_SOTRACO_9_8894257,9: Stade Sangoulé LAMIZANA,1,SHAPE_8894257
R_SOTRACO_6,DAILY,R_SOTRACO_6_8894878,,0,SHAPE_8894878
R_SOTRACO_6,DAILY,R_SOTRACO_6_8894879,Terminus Bindougousso,1,SHAPE_8894879
R_SOTRACO_5,DAILY,R_SOTRACO_5_8895024,Place Tiéfo Amoro,0,SHAPE_8895024
R_SOTRACO_5,DAILY,R_SOTRACO_5_8895025,Terminus Farakô BA,1,SHAPE_8895025
R_SOTRACO_3,DAILY,R_SOTRACO_3_8895111,,0,SHAPE_8895111
R_SOTRACO_3,DAILY,R_SOTRACO_3_8895112,Terminus Bobo 210,1,SHAPE_8895112
R_SOTRACO_10,DAILY,R_SOTRACO_10_8895147,Place Tiéfo Amoro,0,SHAPE_8895147
R_SOTRACO_10,DAILY,R_SOTRACO_10_8895148,Terminus Samagan,1,SHAPE_8895148
R_SOTRACO_1,DAILY,R_SOTRACO_1_8895245,Place Tiéfo Amoro,0,SHAPE_8895245
R_SOTRACO_1,DAILY,R_SOTRACO_1_8895246,Terminus Eaux et Forêts,1,SHAPE_8895246
R_SOTRACO_2,DAILY,R_SOTRACO_2_8895590,Place Tiéfo Amoro,0,SHAPE_8895590
R_SOTRACO_2,DAILY,R_SOTRACO_2_8895591,Terminus secteurs 24 & 25,1,SHAPE_8895591
R_SOTRACO_4,DAILY,R_SOTRACO_4_8895793,Place Tiéfo Amoro,0,SHAPE_8895793
R_SOTRACO_4,DAILY,R_SOTRACO_4_8895794,Terminus secteurs 24 & 25,1,SHAPE_8895794
R_SOTRACO_8,DAILY,R_SOTRACO_8_8896088,Place Tiéfo Amoro,0,SHAPE_8896088
R_SOTRACO_8,DAILY,R_SOTRACO_8_8896089,Terminus Bindougousso,1,SHAPE_8896089
R_SOTRACO_41,DAILY,R_SOTRACO_41_8896258,CSPS St Bernard,0,SHAPE_8896258
R_SOTRACO_41,DAILY,R_SOTRACO_41_8896259,Université Nazi BONI,1,SHAPE_8896259
R_SOTRACO_40,DAILY,R_SOTRACO_40_8896419,Place Tiéfo Amoro,0,SHAPE_8896419
R_SOTRACO_44,DAILY,R_SOTRACO_44_8896420,Terminus Lycée Scientifique (Darsalamy),0,SHAPE_8896420
R_SOTRACO_2B,DAILY,R_SOTRACO_2B_12870553,Terminus Yegueresso,0,SHAPE_12870553
R_SOTRACO_1B,DAILY,R_SOTRACO_1B_12874394,Cité verte Terminus,0,SHAPE_12874394
R_SOTRACO_1B,DAILY,R_SOTRACO_1B_12875511,Place Tiéfo Amoro,1,SHAPE_12875511
R_SOTRACO_7,DAILY,R_SOTRACO_7_12884462,temple salem,0,SHAPE_12884462
R_SOTRACO_7,DAILY,R_SOTRACO_7_12884722,tiéfo amoro,1,SHAPE_12884722
R_SOTRACO_L9,DAILY,R_SOTRACO_L9_12887111,Marché secteur 29,0,SHAPE_12887111
R_SOTRACO_L9,DAILY,R_SOTRACO_L9_12887244,Cité CNSS,1,SHAPE_12887244
R_SOTRACO_2B,DAILY,R_SOTRACO_2B_12891025,Place Tiéfo Amoro,1,SHAPE_12891025
R_SOTRACO_42,DAILY,R_SOTRACO_42_12916184,CITE CNSS,0,SHAPE_12916184
R_SOTRACO_42,DAILY,R_SOTRACO_42_12916185,CROUB,1,SHAPE_12916185
R_SOTRACO_44,DAILY,R_SOTRACO_44_12931143,Place Tiéfo Amoro,1,SHAPE_12931143
