shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHAPE_DDG_0,12.457955,-3.476794,1
SHAPE_DDG_0,12.457678,-3.476575,2
SHAPE_DDG_0,12.457371,-3.476329,3
SHAPE_DDG_0,12.457076,-3.47613,4
SHAPE_DDG_0,12.456917,-3.476041,5
SHAPE_DDG_0,12.457548,-3.47496,6
SHAPE_DDG_0,12.458449,-3.473396,7
SHAPE_DDG_0,12.458918,-3.472602,8
SHAPE_DDG_0,12.45918,-3.472128,9
SHAPE_DDG_0,12.461706,-3.467725,10
SHAPE_DDG_0,12.461711,-3.467661,11
SHAPE_DDG_0,12.461717,-3.467619,12
SHAPE_DDG_0,12.461724,-3.467588,13
SHAPE_DDG_0,12.461729,-3.467557,14
SHAPE_DDG_0,12.461712,-3.467533,15
SHAPE_DDG_0,12.4617,-3.467507,16
SHAPE_DDG_0,12.461693,-3.467481,17
SHAPE_DDG_0,12.461691,-3.467454,18
SHAPE_DDG_0,12.461692,-3.467427,19
SHAPE_DDG_0,12.461698,-3.467401,20
SHAPE_DDG_0,12.46171,-3.467374,21
SHAPE_DDG_0,12.461724,-3.467352,22
SHAPE_DDG_0,12.461742,-3.467332,23
SHAPE_DDG_0,12.461762,-3.467316,24
SHAPE_DDG_0,12.461785,-3.467303,25
SHAPE_DDG_0,12.461804,-3.467296,26
SHAPE_DDG_0,12.461825,-3.467291,27
SHAPE_DDG_0,12.461846,-3.46729,28
SHAPE_DDG_0,12.461867,-3.467291,29
SHAPE_DDG_0,12.461894,-3.467297,30
SHAPE_DDG_0,12.461919,-3.467307,31
SHAPE_DDG_0,12.461951,-3.467231,32
SHAPE_DDG_0,12.461984,-3.467171,33
SHAPE_DDG_0,12.462036,-3.467085,34
SHAPE_DDG_0,12.462239,-3.466746,35
SHAPE_DDG_0,12.462554,-3.466236,36
SHAPE_DDG_0,12.463022,-3.465407,37
SHAPE_DDG_0,12.463425,-3.464728,38
SHAPE_DDG_0,12.463963,-3.463709,39
SHAPE_DDG_0,12.464063,-3.463522,40
SHAPE_DDG_0,12.464309,-3.463066,41
SHAPE_DDG_0,12.464519,-3.462688,42
SHAPE_DDG_0,12.464714,-3.462383,43
SHAPE_DDG_0,12.465094,-3.461732,44
SHAPE_DDG_0,12.464871,-3.461595,45
SHAPE_DDG_0,12.46438,-3.461325,46
SHAPE_DDG_0,12.463613,-3.46084,47
SHAPE_DDG_0,12.463587,-3.460674,48
SHAPE_DDG_0,12.463492,-3.460136,49
SHAPE_DDG_0,12.463492,-3.460136,50
SHAPE_DDG_1,12.463492,-3.460136,1
SHAPE_DDG_1,12.463492,-3.460136,2
SHAPE_DDG_1,12.463587,-3.460674,3
SHAPE_DDG_1,12.463613,-3.46084,4
SHAPE_DDG_1,12.46438,-3.461325,5
SHAPE_DDG_1,12.464871,-3.461595,6
SHAPE_DDG_1,12.465094,-3.461732,7
SHAPE_DDG_1,12.464714,-3.462383,8
SHAPE_DDG_1,12.464519,-3.462688,9
SHAPE_DDG_1,12.464309,-3.463066,10
SHAPE_DDG_1,12.464063,-3.463522,11
SHAPE_DDG_1,12.463963,-3.463709,12
SHAPE_DDG_1,12.463425,-3.464728,13
SHAPE_DDG_1,12.463022,-3.465407,14
SHAPE_DDG_1,12.462554,-3.466236,15
SHAPE_DDG_1,12.462239,-3.466746,16
SHAPE_DDG_1,12.462036,-3.467085,17
SHAPE_DDG_1,12.461984,-3.467171,18
SHAPE_DDG_1,12.461951,-3.467231,19
SHAPE_DDG_1,12.461919,-3.467307,20
SHAPE_DDG_1,12.461894,-3.467297,21
SHAPE_DDG_1,12.461867,-3.467291,22
SHAPE_DDG_1,12.461846,-3.46729,23
SHAPE_DDG_1,12.461825,-3.467291,24
SHAPE_DDG_1,12.461804,-3.467296,25
SHAPE_DDG_1,12.461785,-3.467303,26
SHAPE_DDG_1,12.461762,-3.467316,27
SHAPE_DDG_1,12.461742,-3.467332,28
SHAPE_DDG_1,12.461724,-3.467352,29
SHAPE_DDG_1,12.46171,-3.467374,30
SHAPE_DDG_1,12.461698,-3.467401,31
SHAPE_DDG_1,12.461692,-3.467427,32
SHAPE_DDG_1,12.461691,-3.467454,33
SHAPE_DDG_1,12.461693,-3.467481,34
SHAPE_DDG_1,12.4617,-3.467507,35
SHAPE_DDG_1,12.461712,-3.467533,36
SHAPE_DDG_1,12.461729,-3.467557,37
SHAPE_DDG_1,12.461724,-3.467588,38
SHAPE_DDG_1,12.461717,-3.467619,39
SHAPE_DDG_1,12.461711,-3.467661,40
SHAPE_DDG_1,12.461706,-3.467725,41
SHAPE_DDG_1,12.45918,-3.472128,42
SHAPE_DDG_1,12.458918,-3.472602,43
SHAPE_DDG_1,12.458449,-3.473396,44
SHAPE_DDG_1,12.457548,-3.47496,45
SHAPE_DDG_1,12.456917,-3.476041,46
SHAPE_DDG_1,12.457076,-3.47613,47
SHAPE_DDG_1,12.457371,-3.476329,48
SHAPE_DDG_1,12.457678,-3.476575,49
SHAPE_DDG_1,12.457955,-3.476794,50
