trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R_SOTRACO_LSE1_DDG_0,00:00:00,00:00:00,DDG1,1,0,0
R_SOTRACO_LSE1_DDG_0,00:01:49,00:01:49,DDG2,2,0,0
R_SOTRACO_LSE1_DDG_0,00:03:47,00:03:47,DDG3,3,0,0
R_SOTRACO_LSE1_DDG_0,00:05:49,00:05:49,DDG4,4,0,0
R_SOTRACO_LSE1_DDG_0,00:07:25,00:07:25,DDG5,5,0,0
R_SOTRACO_LSE1_DDG_0,00:08:45,00:08:45,DDG6,6,0,0
R_SOTRACO_LSE1_DDG_1,00:00:00,00:00:00,DDG6,1,0,0
R_SOTRACO_LSE1_DDG_1,00:01:40,00:01:40,DDG5,2,0,0
R_SOTRACO_LSE1_DDG_1,00:03:16,00:03:16,DDG4,3,0,0
R_SOTRACO_LSE1_DDG_1,00:05:18,00:05:18,DDG3,4,0,0
R_SOTRACO_LSE1_DDG_1,00:07:16,00:07:16,DDG2,5,0,0
R_SOTRACO_LSE1_DDG_1,00:08:45,00:08:45,DDG1,6,0,0
