trip_id,start_time,end_time,headway_secs,exact_times
R_SOTRACO_3_8897178,05:30:00,06:00:00,1800,0
R_SOTRACO_3_8897178,06:00:00,18:00:00,1200,0
R_SOTRACO_3_8897178,18:00:00,19:30:00,1800,0
R_SOTRACO_3_8897178,19:30:00,21:30:00,2700,0
R_SOTRACO_3_8897179,05:30:00,06:00:00,1800,0
R_SOTRACO_3_8897179,06:00:00,18:00:00,1200,0
R_SOTRACO_3_8897179,18:00:00,19:30:00,1800,0
R_SOTRACO_3_8897179,19:30:00,21:30:00,2700,0
R_SOTRACO_5_8897441,05:30:00,06:00:00,1800,0
R_SOTRACO_5_8897441,06:00:00,18:00:00,1200,0
R_SOTRACO_5_8897441,18:00:00,19:30:00,1800,0
R_SOTRACO_5_8897441,19:30:00,21:30:00,2700,0
R_SOTRACO_5_8897442,05:30:00,06:00:00,1800,0
R_SOTRACO_5_8897442,06:00:00,18:00:00,1200,0
R_SOTRACO_5_8897442,18:00:00,19:30:00,1800,0
R_SOTRACO_5_8897442,19:30:00,21:30:00,2700,0
R_SOTRACO_1B_8897820,05:30:00,06:00:00,1800,0
R_SOTRACO_1B_8897820,06:00:00,18:00:00,1200,0
R_SOTRACO_1B_8897820,18:00:00,19:30:00,1800,0
R_SOTRACO_1B_8897820,19:30:00,21:30:00,2700,0
R_SOTRACO_1B_8897821,05:30:00,06:00:00,1800,0
R_SOTRACO_1B_8897821,06:00:00,18:00:00,1200,0
R_SOTRACO_1B_8897821,18:00:00,19:30:00,1800,0
R_SOTRACO_1B_8897821,19:30:00,21:30:00,2700,0
R_SOTRACO_1_8897876,05:30:00,06:00:00,1800,0
R_SOTRACO_1_8897876,06:00:00,18:00:00,1200,0
R_SOTRACO_1_8897876,18:00:00,19:30:00,1800,0
R_SOTRACO_1_8897876,19:30:00,21:30:00,2700,0
R_SOTRACO_1_8897877,05:30:00,06:00:00,1800,0
R_SOTRACO_1_8897877,06:00:00,18:00:00,1200,0
R_SOTRACO_1_8897877,18:00:00,19:30:00,1800,0
R_SOTRACO_1_8897877,19:30:00,21:30:00,2700,0
R_SOTRACO_7_8898061,05:30:00,06:00:00,1800,0
R_SOTRACO_7_8898061,06:00:00,18:00:00,1200,0
R_SOTRACO_7_8898061,18:00:00,19:30:00,1800,0
R_SOTRACO_7_8898061,19:30:00,21:30:00,2700,0
R_SOTRACO_7_8898062,05:30:00,06:00:00,1800,0
R_SOTRACO_7_8898062,06:00:00,18:00:00,1200,0
R_SOTRACO_7_8898062,18:00:00,19:30:00,1800,0
R_SOTRACO_7_8898062,19:30:00,21:30:00,2700,0
R_SOTRACO_6_8898140,05:30:00,06:00:00,1800,0
R_SOTRACO_6_8898140,06:00:00,18:00:00,1200,0
R_SOTRACO_6_8898140,18:00:00,19:30:00,1800,0
R_SOTRACO_6_8898140,19:30:00,21:30:00,2700,0
R_SOTRACO_6_8898141,05:30:00,06:00:00,1800,0
R_SOTRACO_6_8898141,06:00:00,18:00:00,1200,0
R_SOTRACO_6_8898141,18:00:00,19:30:00,1800,0
R_SOTRACO_6_8898141,19:30:00,21:30:00,2700,0
R_SOTRACO_Reo_8898342,05:30:00,06:00:00,1800,0
R_SOTRACO_Reo_8898342,06:00:00,18:00:00,1200,0
R_SOTRACO_Reo_8898342,18:00:00,19:30:00,1800,0
R_SOTRACO_Reo_8898342,19:30:00,21:30:00,2700,0
R_SOTRACO_Reo_8898343,05:30:00,06:00:00,1800,0
R_SOTRACO_Reo_8898343,06:00:00,18:00:00,1200,0
R_SOTRACO_Reo_8898343,18:00:00,19:30:00,1800,0
R_SOTRACO_Reo_8898343,19:30:00,21:30:00,2700,0
R_SOTRACO_LIC_Sabou_12955202,05:30:00,06:00:00,1800,0
R_SOTRACO_LIC_Sabou_12955202,06:00:00,18:00:00,1200,0
R_SOTRACO_LIC_Sabou_12955202,18:00:00,19:30:00,1800,0
R_SOTRACO_LIC_Sabou_12955202,19:30:00,21:30:00,2700,0
R_SOTRACO_L7_12969105,05:30:00,06:00:00,1800,0
R_SOTRACO_L7_12969105,06:00:00,18:00:00,1200,0
R_SOTRACO_L7_12969105,18:00:00,19:30:00,1800,0
R_SOTRACO_L7_12969105,19:30:00,21:30:00,2700,0
R_SOTRACO_L7_12969258,05:30:00,06:00:00,1800,0
R_SOTRACO_L7_12969258,06:00:00,18:00:00,1200,0
R_SOTRACO_L7_12969258,18:00:00,19:30:00,1800,0
R_SOTRACO_L7_12969258,19:30:00,21:30:00,2700,0
R_SOTRACO_LIC_Réo_13007440,05:30:00,06:00:00,1800,0
R_SOTRACO_LIC_Réo_13007440,06:00:00,18:00:00,1200,0
R_SOTRACO_LIC_Réo_13007440,18:00:00,19:30:00,1800,0
R_SOTRACO_LIC_Réo_13007440,19:30:00,21:30:00,2700,0
R_SOTRACO_LIC_Réo_13007503,05:30:00,06:00:00,1800,0
R_SOTRACO_LIC_Réo_13007503,06:00:00,18:00:00,1200,0
R_SOTRACO_LIC_Réo_13007503,18:00:00,19:30:00,1800,0
R_SOTRACO_LIC_Réo_13007503,19:30:00,21:30:00,2700,0
R_SOTRACO_LIC_Ramongo_13010948,05:30:00,06:00:00,1800,0
R_SOTRACO_LIC_Ramongo_13010948,06:00:00,18:00:00,1200,0
R_SOTRACO_LIC_Ramongo_13010948,18:00:00,19:30:00,1800,0
R_SOTRACO_LIC_Ramongo_13010948,19:30:00,21:30:00,2700,0
R_SOTRACO_LIC_Tenado_13011078,05:30:00,06:00:00,1800,0
R_SOTRACO_LIC_Tenado_13011078,06:00:00,18:00:00,1200,0
R_SOTRACO_LIC_Tenado_13011078,18:00:00,19:30:00,1800,0
R_SOTRACO_LIC_Tenado_13011078,19:30:00,21:30:00,2700,0
R_SOTRACO_LIC_Tenado_13011229,05:30:00,06:00:00,1800,0
R_SOTRACO_LIC_Tenado_13011229,06:00:00,18:00:00,1200,0
R_SOTRACO_LIC_Tenado_13011229,18:00:00,19:30:00,1800,0
R_SOTRACO_LIC_Tenado_13011229,19:30:00,21:30:00,2700,0
