trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R_SOTRACO_3_8897178,00:00:00,00:00:00,OSM6036747949,1,0,0
R_SOTRACO_3_8897178,00:17:19,00:17:19,OSM6036747952,2,0,0
R_SOTRACO_3_8897178,00:20:41,00:20:41,OSM6036747955,3,0,0
R_SOTRACO_3_8897178,00:22:37,00:22:37,OSM6036747958,4,0,0
R_SOTRACO_3_8897178,00:25:17,00:25:17,OSM6036747962,5,0,0
R_SOTRACO_3_8897178,00:28:18,00:28:18,OSM6037787838,6,0,0
R_SOTRACO_3_8897178,00:29:38,00:29:38,OSM6036747946,7,0,0
R_SOTRACO_3_8897178,00:31:13,00:31:13,OSM6036747943,8,0,0
R_SOTRACO_3_8897178,00:33:00,00:33:00,OSM6036747941,9,0,0
R_SOTRACO_3_8897178,00:34:56,00:34:56,OSM6036747937,10,0,0
R_SOTRACO_3_8897178,00:37:19,00:37:19,OSM6036747934,11,0,0
R_SOTRACO_3_8897178,00:38:19,00:38:19,OSM6035432825,12,0,0
R_SOTRACO_3_8897178,00:39:23,00:39:23,OSM6035422092,13,0,0
R_SOTRACO_3_8897178,00:40:48,00:40:48,OSM6035419172,14,0,0
R_SOTRACO_3_8897178,00:41:54,00:41:54,OSM6035415144,15,0,0
R_SOTRACO_3_8897178,00:43:40,00:43:40,OSM6035407418,16,0,0
R_SOTRACO_3_8897178,00:45:36,00:45:36,OSM6036747925,17,0,0
R_SOTRACO_3_8897178,00:46:21,00:46:21,OSM6035403917,18,0,0
R_SOTRACO_3_8897179,00:00:00,00:00:00,OSM6035403917,1,0,0
R_SOTRACO_3_8897179,00:00:39,00:00:39,OSM6035403916,2,0,0
R_SOTRACO_3_8897179,00:02:31,00:02:31,OSM6035407417,3,0,0
R_SOTRACO_3_8897179,00:04:30,00:04:30,OSM6035415145,4,0,0
R_SOTRACO_3_8897179,00:05:42,00:05:42,OSM6035419173,5,0,0
R_SOTRACO_3_8897179,00:07:05,00:07:05,OSM6035422093,6,0,0
R_SOTRACO_3_8897179,00:08:55,00:08:55,OSM6037013610,7,0,0
R_SOTRACO_3_8897179,00:09:19,00:09:19,OSM6036747932,8,0,0
R_SOTRACO_3_8897179,00:11:09,00:11:09,OSM6035432824,9,0,0
R_SOTRACO_3_8897179,00:12:05,00:12:05,OSM6035430435,10,0,0
R_SOTRACO_3_8897179,00:14:16,00:14:16,OSM6035442313,11,0,0
R_SOTRACO_3_8897179,00:16:10,00:16:10,OSM6036747940,12,0,0
R_SOTRACO_3_8897179,00:18:06,00:18:06,OSM6036747944,13,0,0
R_SOTRACO_3_8897179,00:19:45,00:19:45,OSM6036747947,14,0,0
R_SOTRACO_3_8897179,00:20:52,00:20:52,OSM6037642411,15,0,0
R_SOTRACO_3_8897179,00:23:51,00:23:51,OSM6036747963,16,0,0
R_SOTRACO_3_8897179,00:26:43,00:26:43,OSM6036747959,17,0,0
R_SOTRACO_3_8897179,00:28:38,00:28:38,OSM6036747956,18,0,0
R_SOTRACO_3_8897179,00:31:55,00:31:55,OSM6036747953,19,0,0
R_SOTRACO_3_8897179,00:35:54,00:35:54,OSM6036747951,20,0,0
R_SOTRACO_3_8897179,00:49:40,00:49:40,OSM6036747949,21,0,0
R_SOTRACO_5_8897441,00:00:00,00:00:00,OSM6035461354,1,0,0
R_SOTRACO_5_8897441,00:02:53,00:02:53,OSM6035466325,2,0,0
R_SOTRACO_5_8897441,00:04:56,00:04:56,OSM6035460646,3,0,0
R_SOTRACO_5_8897441,00:06:26,00:06:26,OSM6035466056,4,0,0
R_SOTRACO_5_8897441,00:08:55,00:08:55,OSM6035466029,5,0,0
R_SOTRACO_5_8897441,00:11:04,00:11:04,OSM6035445401,6,0,0
R_SOTRACO_5_8897441,00:12:21,00:12:21,OSM6035450217,7,0,0
R_SOTRACO_5_8897441,00:14:04,00:14:04,OSM6037013608,8,0,0
R_SOTRACO_5_8897441,00:15:51,00:15:51,OSM6036747964,9,0,0
R_SOTRACO_5_8897441,00:17:11,00:17:11,OSM6036747946,10,0,0
R_SOTRACO_5_8897441,00:18:46,00:18:46,OSM6036747943,11,0,0
R_SOTRACO_5_8897441,00:20:33,00:20:33,OSM6036747941,12,0,0
R_SOTRACO_5_8897441,00:22:29,00:22:29,OSM6036747937,13,0,0
R_SOTRACO_5_8897441,00:24:52,00:24:52,OSM6036747934,14,0,0
R_SOTRACO_5_8897441,00:25:52,00:25:52,OSM6035432825,15,0,0
R_SOTRACO_5_8897441,00:26:56,00:26:56,OSM6035422092,16,0,0
R_SOTRACO_5_8897441,00:27:33,00:27:33,OSM6037013613,17,0,0
R_SOTRACO_5_8897441,00:28:31,00:28:31,OSM6037013616,18,0,0
R_SOTRACO_5_8897441,00:29:41,00:29:41,OSM6037013621,19,0,0
R_SOTRACO_5_8897441,00:31:57,00:31:57,OSM6037013625,20,0,0
R_SOTRACO_5_8897441,00:33:31,00:33:31,OSM6037013630,21,0,0
R_SOTRACO_5_8897441,00:34:50,00:34:50,OSM6037013631,22,0,0
R_SOTRACO_5_8897441,00:38:11,00:38:11,OSM6037013635,23,0,0
R_SOTRACO_5_8897441,00:41:08,00:41:08,OSM6037013640,24,0,0
R_SOTRACO_5_8897442,00:00:00,00:00:00,OSM6037013640,1,0,0
R_SOTRACO_5_8897442,00:03:03,00:03:03,OSM6037013638,2,0,0
R_SOTRACO_5_8897442,00:06:10,00:06:10,OSM6037013634,3,0,0
R_SOTRACO_5_8897442,00:07:46,00:07:46,OSM6037013629,4,0,0
R_SOTRACO_5_8897442,00:08:58,00:08:58,OSM6037013626,5,0,0
R_SOTRACO_5_8897442,00:11:21,00:11:21,OSM6037013622,6,0,0
R_SOTRACO_5_8897442,00:12:17,00:12:17,OSM6037013617,7,0,0
R_SOTRACO_5_8897442,00:13:30,00:13:30,OSM6037013614,8,0,0
R_SOTRACO_5_8897442,00:14:24,00:14:24,OSM6035422093,9,0,0
R_SOTRACO_5_8897442,00:16:14,00:16:14,OSM6037013610,10,0,0
