stop_id,stop_name,stop_lat,stop_lon
OSM6036747949,Marché de Goundi,12.2262876,-2.4576545
OSM6036747952,Arret 6036747952,12.2383535,-2.4124257
OSM6036747955,Terminus Principal,12.2411255,-2.4045293
OSM6036747958,Université Norbert ZONGO,12.2425645,-2.4003726
OSM6036747962,Agence BOA,12.2447139,-2.3943114
OSM6037787838,Arret 6037787838,12.2471503,-2.3873538
OSM6036747946,Cité universitaire Burkina,12.2480546,-2.3847614
OSM6036747943,Hôtel Administratif,12.2491778,-2.3814958
OSM6036747941,OTAM,12.2504791,-2.3777139
OSM6036747937,Mangueraie,12.2510066,-2.373348
OSM6036747934,Lycée provincial,12.2504647,-2.3677066
OSM6035432825,Hôtel de ville,12.2508409,-2.3658948
OSM6035422092,SONAPOST,12.251352,-2.3639515
OSM6035419172,Palais Maurice Yaméogo,12.2521488,-2.361052
OSM6035415144,BCIAB,12.252694,-2.3590222
OSM6035407418,Hôtel Beneb Souka,12.2528237,-2.3550747
OSM6036747925,BDU-BF,12.2529705,-2.350635
OSM6035403917,Gare routière,12.2534397,-2.3496338
OSM6035403916,BDU-BF,12.253057,-2.3504385
OSM6035407417,Hôtel Beneb Souka,12.2529174,-2.3546698
OSM6035415145,BCIAB,12.2527536,-2.35921
OSM6035419173,Palais Maurice Yaméogo,12.2521187,-2.3615227
OSM6035422093,SONAPOST,12.2514149,-2.3642975
OSM6037013610,Cours Placide YAMEOGO,12.2548413,-2.3665123
OSM6036747932,ENSP/K,12.2548656,-2.3666954
OSM6035432824,Hôtel de ville,12.2508448,-2.3663051
OSM6035430435,Lycée provincial,12.250605,-2.367952
OSM6035442313,Mangueraie,12.2510427,-2.3730576
OSM6036747940,OTAM,12.2507177,-2.3773572
OSM6036747944,Hôtel Administratif,12.2492642,-2.3815401
OSM6036747947,Cité universitaire Burkina,12.2480756,-2.3849612
OSM6037642411,Arret 6037642411,12.2473718,-2.3869682
OSM6036747963,Agence BOA,12.2449616,-2.3938809
OSM6036747959,Université Norbert ZONGO,12.2426661,-2.4004389
OSM6036747956,Terminus Principal,12.241246,-2.4045776
OSM6036747953,Arret 6036747953,12.2385933,-2.4122742
OSM6036747951,Terminus Secondaire,12.2352945,-2.421733
OSM6035461354,RTB,12.2685276,-2.4044489
OSM6035466325,Lycée professionei Maurice Yaméogo,12.2642843,-2.3988873
OSM6035460646,SODISER,12.2615978,-2.3950571
OSM6035466056,Arret 6035466056,12.2597604,-2.3924285
OSM6035466029,SOGEL-B,12.2575142,-2.3869407
OSM6035445401,Coris Bank,12.2554383,-2.3824045
OSM6035450217,Eglise cathédrale,12.2531946,-2.3836121
OSM6037013608,Hôtel Ramonwendé,12.2498317,-2.3853368
OSM6036747964,Terminus central,12.2461516,-2.3866859
OSM6037013613,SONAPOST,12.2511108,-2.3632219
OSM6037013616,Commissariat central,12.2494412,-2.3636484
OSM6037013621,Elikan,12.2472066,-2.3638791
OSM6037013625,Ecole Bloc Sud,12.2420075,-2.3633359
OSM6037013630,Oil-Lybia,12.2386956,-2.3635049
OSM6037013631,Collège Moukassa,12.2360573,-2.3636739
OSM6037013635,CCVA,12.2279718,-2.3624877
OSM6037013640,Terminus Site Granite,12.221419,-2.3597659
OSM6037013638,CCVA,12.228234,-2.362491
OSM6037013634,Collège Moukassa,12.2356549,-2.3636082
OSM6037013629,Oil-Lybia,12.2391019,-2.3634379
OSM6037013626,Ecole Bloc Sud,12.2414269,-2.3632903
OSM6037013622,Elikan,12.2469511,-2.3636967
OSM6037013617,Elikan,12.2484805,-2.3641808
OSM6037013614,SONAPOST,12.2505525,-2.3629792
OSM6035450272,Hôtel Ramondwendé,12.2507019,-2.3847252
OSM6035450216,Eglise cathédrale,12.2526494,-2.3837113
OSM6037013604,Coris Bank,12.2562207,-2.3827538
