route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
R_SOTRACO_3,DAILY,R_SOTRACO_3_8897178,Gare routière,0,SHAPE_8897178
R_SOTRACO_3,DAILY,R_SOTRACO_3_8897179,Terminus Goundi,1,SHAPE_8897179
R_SOTRACO_5,DAILY,R_SOTRACO_5_8897441,Terminus Site Granite,0,SHAPE_8897441
R_SOTRACO_5,DAILY,R_SOTRACO_5_8897442,Route,1,SHAPE_8897442
R_SOTRACO_1B,DAILY,R_SOTRACO_1B_8897820,Terminus central,0,SHAPE_8897820
R_SOTRACO_1B,DAILY,R_SOTRACO_1B_8897821,Cité des forces vives,1,SHAPE_8897821
R_SOTRACO_1,DAILY,R_SOTRACO_1_8897876,Terminus central,0,SHAPE_8897876
R_SOTRACO_1,DAILY,R_SOTRACO_1_8897877,Cité des forces vives,1,SHAPE_8897877
R_SOTRACO_7,DAILY,R_SOTRACO_7_8898061,Terminus central,0,SHAPE_8898061
R_SOTRACO_7,DAILY,R_SOTRACO_7_8898062,Terminus Site Granite,1,SHAPE_8898062
R_SOTRACO_6,DAILY,R_SOTRACO_6_8898140,Terminus central,0,SHAPE_8898140
R_SOTRACO_6,DAILY,R_SOTRACO_6_8898141,Lycée Wendsongda,1,SHAPE_8898141
R_SOTRACO_Reo,DAILY,R_SOTRACO_Reo_8898342,Gare routière,0,SHAPE_8898342
R_SOTRACO_Reo,DAILY,R_SOTRACO_Reo_8898343,Hôtel de ville de Réo,1,SHAPE_8898343
R_SOTRACO_LIC_Sabou,DAILY,R_SOTRACO_LIC_Sabou_12955202,Terminus sabou,0,SHAPE_12955202
R_SOTRACO_L7,DAILY,R_SOTRACO_L7_12969105,Terminus Site Granite,0,SHAPE_12969105
R_SOTRACO_L7,DAILY,R_SOTRACO_L7_12969258,Terminus Université Norbert ZONGO,1,SHAPE_12969258
R_SOTRACO_LIC_Réo,DAILY,R_SOTRACO_LIC_Réo_13007440,Marché de Réo,0,SHAPE_13007440
R_SOTRACO_LIC_Réo,DAILY,R_SOTRACO_LIC_Réo_13007503,Place de la Nation,1,SHAPE_13007503
R_SOTRACO_LIC_Ramongo,DAILY,R_SOTRACO_LIC_Ramongo_13010948,Mairie,0,SHAPE_13010948
R_SOTRACO_LIC_Tenado,DAILY,R_SOTRACO_LIC_Tenado_13011078,Marché de Tenado,0,SHAPE_13011078
R_SOTRACO_LIC_Tenado,DAILY,R_SOTRACO_LIC_Tenado_13011229,Place de la Nation,1,SHAPE_13011229
