trip_id,start_time,end_time,headway_secs,exact_times
R_SOTRACO_1_8451637,05:30:00,06:00:00,1800,0
R_SOTRACO_1_8451637,06:00:00,18:00:00,1200,0
R_SOTRACO_1_8451637,18:00:00,19:30:00,1800,0
R_SOTRACO_1_8451637,19:30:00,21:30:00,2700,0
R_SOTRACO_1_8451665,05:30:00,06:00:00,1800,0
R_SOTRACO_1_8451665,06:00:00,18:00:00,1200,0
R_SOTRACO_1_8451665,18:00:00,19:30:00,1800,0
R_SOTRACO_1_8451665,19:30:00,21:30:00,2700,0
R_SOTRACO_4_8453469,05:30:00,06:00:00,1800,0
R_SOTRACO_4_8453469,06:00:00,18:00:00,1200,0
R_SOTRACO_4_8453469,18:00:00,19:30:00,1800,0
R_SOTRACO_4_8453469,19:30:00,21:30:00,2700,0
R_SOTRACO_4_8453480,05:30:00,06:00:00,1800,0
R_SOTRACO_4_8453480,06:00:00,18:00:00,1200,0
R_SOTRACO_4_8453480,18:00:00,19:30:00,1800,0
R_SOTRACO_4_8453480,19:30:00,21:30:00,2700,0
R_SOTRACO_10_8454961,05:30:00,06:00:00,1800,0
R_SOTRACO_10_8454961,06:00:00,18:00:00,1200,0
R_SOTRACO_10_8454961,18:00:00,19:30:00,1800,0
R_SOTRACO_10_8454961,19:30:00,21:30:00,2700,0
R_SOTRACO_10_8454988,05:30:00,06:00:00,1800,0
R_SOTRACO_10_8454988,06:00:00,18:00:00,1200,0
R_SOTRACO_10_8454988,18:00:00,19:30:00,1800,0
R_SOTRACO_10_8454988,19:30:00,21:30:00,2700,0
R_SOTRACO_2B_8455879,05:30:00,06:00:00,1800,0
R_SOTRACO_2B_8455879,06:00:00,18:00:00,1200,0
R_SOTRACO_2B_8455879,18:00:00,19:30:00,1800,0
R_SOTRACO_2B_8455879,19:30:00,21:30:00,2700,0
R_SOTRACO_2B_8455880,05:30:00,06:00:00,1800,0
R_SOTRACO_2B_8455880,06:00:00,18:00:00,1200,0
R_SOTRACO_2B_8455880,18:00:00,19:30:00,1800,0
R_SOTRACO_2B_8455880,19:30:00,21:30:00,2700,0
R_SOTRACO_12_8456870,05:30:00,06:00:00,1800,0
R_SOTRACO_12_8456870,06:00:00,18:00:00,1200,0
R_SOTRACO_12_8456870,18:00:00,19:30:00,1800,0
R_SOTRACO_12_8456870,19:30:00,21:30:00,2700,0
R_SOTRACO_12_8456871,05:30:00,06:00:00,1800,0
R_SOTRACO_12_8456871,06:00:00,18:00:00,1200,0
R_SOTRACO_12_8456871,18:00:00,19:30:00,1800,0
R_SOTRACO_12_8456871,19:30:00,21:30:00,2700,0
R_SOTRACO_4B_8458645,05:30:00,06:00:00,1800,0
R_SOTRACO_4B_8458645,06:00:00,18:00:00,1200,0
R_SOTRACO_4B_8458645,18:00:00,19:30:00,1800,0
R_SOTRACO_4B_8458645,19:30:00,21:30:00,2700,0
R_SOTRACO_2_8461594,05:30:00,06:00:00,1800,0
R_SOTRACO_2_8461594,06:00:00,18:00:00,1200,0
R_SOTRACO_2_8461594,18:00:00,19:30:00,1800,0
R_SOTRACO_2_8461594,19:30:00,21:30:00,2700,0
R_SOTRACO_6_8463451,05:30:00,06:00:00,1800,0
R_SOTRACO_6_8463451,06:00:00,18:00:00,1200,0
R_SOTRACO_6_8463451,18:00:00,19:30:00,1800,0
R_SOTRACO_6_8463451,19:30:00,21:30:00,2700,0
R_SOTRACO_6_8463452,05:30:00,06:00:00,1800,0
R_SOTRACO_6_8463452,06:00:00,18:00:00,1200,0
R_SOTRACO_6_8463452,18:00:00,19:30:00,1800,0
R_SOTRACO_6_8463452,19:30:00,21:30:00,2700,0
R_SOTRACO_6B_8463672,05:30:00,06:00:00,1800,0
R_SOTRACO_6B_8463672,06:00:00,18:00:00,1200,0
R_SOTRACO_6B_8463672,18:00:00,19:30:00,1800,0
R_SOTRACO_6B_8463672,19:30:00,21:30:00,2700,0
R_SOTRACO_6B_8463688,05:30:00,06:00:00,1800,0
R_SOTRACO_6B_8463688,06:00:00,18:00:00,1200,0
R_SOTRACO_6B_8463688,18:00:00,19:30:00,1800,0
R_SOTRACO_6B_8463688,19:30:00,21:30:00,2700,0
R_SOTRACO_3_8488262,05:30:00,06:00:00,1800,0
R_SOTRACO_3_8488262,06:00:00,18:00:00,1200,0
R_SOTRACO_3_8488262,18:00:00,19:30:00,1800,0
R_SOTRACO_3_8488262,19:30:00,21:30:00,2700,0
R_SOTRACO_3_8488263,05:30:00,06:00:00,1800,0
R_SOTRACO_3_8488263,06:00:00,18:00:00,1200,0
R_SOTRACO_3_8488263,18:00:00,19:30:00,1800,0
R_SOTRACO_3_8488263,19:30:00,21:30:00,2700,0
R_SOTRACO_3LSE_8513929,05:30:00,06:00:00,1800,0
R_SOTRACO_3LSE_8513929,06:00:00,18:00:00,1200,0
R_SOTRACO_3LSE_8513929,18:00:00,19:30:00,1800,0
R_SOTRACO_3LSE_8513929,19:30:00,21:30:00,2700,0
R_SOTRACO_3LSE_8513930,05:30:00,06:00:00,1800,0
R_SOTRACO_3LSE_8513930,06:00:00,18:00:00,1200,0
R_SOTRACO_3LSE_8513930,18:00:00,19:30:00,1800,0
R_SOTRACO_3LSE_8513930,19:30:00,21:30:00,2700,0
R_SOTRACO_3LCI_10328167,05:30:00,06:00:00,1800,0
R_SOTRACO_3LCI_10328167,06:00:00,18:00:00,1200,0
R_SOTRACO_3LCI_10328167,18:00:00,19:30:00,1800,0
R_SOTRACO_3LCI_10328167,19:30:00,21:30:00,2700,0
R_SOTRACO_5LIC_10399450,05:30:00,06:00:00,1800,0
R_SOTRACO_5LIC_10399450,06:00:00,18:00:00,1200,0
R_SOTRACO_5LIC_10399450,18:00:00,19:30:00,1800,0
R_SOTRACO_5LIC_10399450,19:30:00,21:30:00,2700,0
R_SOTRACO_5LIC_10399470,05:30:00,06:00:00,1800,0
R_SOTRACO_5LIC_10399470,06:00:00,18:00:00,1200,0
R_SOTRACO_5LIC_10399470,18:00:00,19:30:00,1800,0
R_SOTRACO_5LIC_10399470,19:30:00,21:30:00,2700,0
R_SOTRACO_5_10488050,05:30:00,06:00:00,1800,0
R_SOTRACO_5_10488050,06:00:00,18:00:00,1200,0
R_SOTRACO_5_10488050,18:00:00,19:30:00,1800,0
R_SOTRACO_5_10488050,19:30:00,21:30:00,2700,0
R_SOTRACO_5_10514456,05:30:00,06:00:00,1800,0
R_SOTRACO_5_10514456,06:00:00,18:00:00,1200,0
R_SOTRACO_5_10514456,18:00:00,19:30:00,1800,0
R_SOTRACO_5_10514456,19:30:00,21:30:00,2700,0
R_SOTRACO_5b_10528059,05:30:00,06:00:00,1800,0
R_SOTRACO_5b_10528059,06:00:00,18:00:00,1200,0
R_SOTRACO_5b_10528059,18:00:00,19:30:00,1800,0
R_SOTRACO_5b_10528059,19:30:00,21:30:00,2700,0
R_SOTRACO_5b_10528169,05:30:00,06:00:00,1800,0
R_SOTRACO_5b_10528169,06:00:00,18:00:00,1200,0
R_SOTRACO_5b_10528169,18:00:00,19:30:00,1800,0
R_SOTRACO_5b_10528169,19:30:00,21:30:00,2700,0
R_SOTRACO_9_10529305,05:30:00,06:00:00,1800,0
R_SOTRACO_9_10529305,06:00:00,18:00:00,1200,0
R_SOTRACO_9_10529305,18:00:00,19:30:00,1800,0
R_SOTRACO_9_10529305,19:30:00,21:30:00,2700,0
R_SOTRACO_9_10529314,05:30:00,06:00:00,1800,0
R_SOTRACO_9_10529314,06:00:00,18:00:00,1200,0
R_SOTRACO_9_10529314,18:00:00,19:30:00,1800,0
R_SOTRACO_9_10529314,19:30:00,21:30:00,2700,0
R_SOTRACO_13_10533250,05:30:00,06:00:00,1800,0
R_SOTRACO_13_10533250,06:00:00,18:00:00,1200,0
R_SOTRACO_13_10533250,18:00:00,19:30:00,1800,0
R_SOTRACO_13_10533250,19:30:00,21:30:00,2700,0
R_SOTRACO_13_10533305,05:30:00,06:00:00,1800,0
R_SOTRACO_13_10533305,06:00:00,18:00:00,1200,0
R_SOTRACO_13_10533305,18:00:00,19:30:00,1800,0
R_SOTRACO_13_10533305,19:30:00,21:30:00,2700,0
R_SOTRACO_16_10533408,05:30:00,06:00:00,1800,0
R_SOTRACO_16_10533408,06:00:00,18:00:00,1200,0
R_SOTRACO_16_10533408,18:00:00,19:30:00,1800,0
R_SOTRACO_16_10533408,19:30:00,21:30:00,2700,0
R_SOTRACO_16_10533475,05:30:00,06:00:00,1800,0
R_SOTRACO_16_10533475,06:00:00,18:00:00,1200,0
R_SOTRACO_16_10533475,18:00:00,19:30:00,1800,0
R_SOTRACO_16_10533475,19:30:00,21:30:00,2700,0
