trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R_SOTRACO_1_8451637,00:00:00,00:00:00,OSM3387645735,1,0,0
R_SOTRACO_1_8451637,00:02:01,00:02:01,OSM3387627638,2,0,0
R_SOTRACO_1_8451637,00:03:59,00:03:59,OSM3184227189,3,0,0
R_SOTRACO_1_8451637,00:05:24,00:05:24,OSM2922118530,4,0,0
R_SOTRACO_1_8451637,00:06:54,00:06:54,OSM5760577916,5,0,0
R_SOTRACO_1_8451637,00:09:41,00:09:41,OSM3479416353,6,0,0
R_SOTRACO_1_8451637,00:12:24,00:12:24,OSM5760577910,7,0,0
R_SOTRACO_1_8451637,00:15:29,00:15:29,OSM5760577908,8,0,0
R_SOTRACO_1_8451637,00:16:49,00:16:49,OSM3572533345,9,0,0
R_SOTRACO_1_8451637,00:18:40,00:18:40,OSM5763952988,10,0,0
R_SOTRACO_1_8451637,00:21:11,00:21:11,OSM5763964675,11,0,0
R_SOTRACO_1_8451637,00:23:21,00:23:21,OSM3572537621,12,0,0
R_SOTRACO_1_8451637,00:26:05,00:26:05,OSM3572539493,13,0,0
R_SOTRACO_1_8451637,00:26:46,00:26:46,OSM7105179620,14,0,0
R_SOTRACO_1_8451637,00:32:11,00:32:11,OSM3572540594,15,0,0
R_SOTRACO_1_8451637,00:33:40,00:33:40,OSM3572540765,16,0,0
R_SOTRACO_1_8451637,00:36:00,00:36:00,OSM3572541793,17,0,0
R_SOTRACO_1_8451637,00:38:09,00:38:09,OSM3387754044,18,0,0
R_SOTRACO_1_8451637,00:39:57,00:39:57,OSM3387755502,19,0,0
R_SOTRACO_1_8451637,00:45:34,00:45:34,OSM3387755086,20,0,0
R_SOTRACO_1_8451637,00:47:20,00:47:20,OSM3572551193,21,0,0
R_SOTRACO_1_8451637,00:48:53,00:48:53,OSM3572554295,22,0,0
R_SOTRACO_1_8451637,00:50:43,00:50:43,OSM3572554194,23,0,0
R_SOTRACO_1_8451637,00:52:29,00:52:29,OSM9283247739,24,0,0
R_SOTRACO_1_8451637,00:54:38,00:54:38,OSM9283230231,25,0,0
R_SOTRACO_1_8451637,00:55:54,00:55:54,OSM9283269925,26,0,0
R_SOTRACO_1_8451637,00:58:02,00:58:02,OSM9283204981,27,0,0
R_SOTRACO_1_8451637,00:59:22,00:59:22,OSM9283243739,28,0,0
R_SOTRACO_1_8451637,01:00:18,01:00:18,OSM9283257162,29,0,0
R_SOTRACO_1_8451637,01:01:40,01:01:40,OSM9283279534,30,0,0
R_SOTRACO_1_8451637,01:03:58,01:03:58,OSM9283283770,31,0,0
R_SOTRACO_1_8451637,01:05:29,01:05:29,OSM9283297619,32,0,0
R_SOTRACO_1_8451637,01:07:30,01:07:30,OSM9283271369,33,0,0
R_SOTRACO_1_8451637,01:08:21,01:08:21,OSM9283251434,34,0,0
R_SOTRACO_1_8451637,01:09:40,01:09:40,OSM9283283804,35,0,0
R_SOTRACO_1_8451665,00:00:00,00:00:00,OSM9283283804,1,0,0
R_SOTRACO_1_8451665,00:00:35,00:00:35,OSM9283283805,2,0,0
R_SOTRACO_1_8451665,00:01:30,00:01:30,OSM9283251433,3,0,0
R_SOTRACO_1_8451665,00:02:35,00:02:35,OSM9283271370,4,0,0
R_SOTRACO_1_8451665,00:04:43,00:04:43,OSM9283297620,5,0,0
R_SOTRACO_1_8451665,00:05:54,00:05:54,OSM9283283769,6,0,0
R_SOTRACO_1_8451665,00:08:11,00:08:11,OSM9283279533,7,0,0
R_SOTRACO_1_8451665,00:10:27,00:10:27,OSM9283243740,8,0,0
R_SOTRACO_1_8451665,00:11:45,00:11:45,OSM9283204982,9,0,0
R_SOTRACO_1_8451665,00:13:35,00:13:35,OSM9283269924,10,0,0
R_SOTRACO_1_8451665,00:14:43,00:14:43,OSM9283230230,11,0,0
R_SOTRACO_1_8451665,00:16:53,00:16:53,OSM9283237355,12,0,0
R_SOTRACO_1_8451665,00:19:06,00:19:06,OSM3572555093,13,0,0
R_SOTRACO_1_8451665,00:20:30,00:20:30,OSM3572554294,14,0,0
R_SOTRACO_1_8451665,00:21:59,00:21:59,OSM3572552493,15,0,0
R_SOTRACO_1_8451665,00:23:55,00:23:55,OSM3387755088,16,0,0
R_SOTRACO_1_8451665,00:25:47,00:25:47,OSM3387755089,17,0,0
R_SOTRACO_1_8451665,00:29:01,00:29:01,OSM5764016080,18,0,0
R_SOTRACO_1_8451665,00:31:26,00:31:26,OSM3387754043,19,0,0
R_SOTRACO_1_8451665,00:33:20,00:33:20,OSM5764012070,20,0,0
R_SOTRACO_1_8451665,00:35:47,00:35:47,OSM3572540766,21,0,0
R_SOTRACO_1_8451665,00:42:30,00:42:30,OSM7104793844,22,0,0
R_SOTRACO_1_8451665,00:44:03,00:44:03,OSM3572539894,23,0,0
R_SOTRACO_1_8451665,00:45:56,00:45:56,OSM3572539494,24,0,0
R_SOTRACO_1_8451665,00:48:39,00:48:39,OSM3572537622,25,0,0
R_SOTRACO_1_8451665,00:50:57,00:50:57,OSM3572536205,26,0,0
R_SOTRACO_1_8451665,00:53:15,00:53:15,OSM3572535212,27,0,0
R_SOTRACO_1_8451665,00:54:58,00:54:58,OSM3572532623,28,0,0
R_SOTRACO_1_8451665,00:56:29,00:56:29,OSM3572529335,29,0,0
R_SOTRACO_1_8451665,00:58:55,00:58:55,OSM3572530101,30,0,0
R_SOTRACO_1_8451665,01:02:05,01:02:05,OSM3479416354,31,0,0
R_SOTRACO_1_8451665,01:03:28,01:03:28,OSM3479416346,32,0,0
R_SOTRACO_1_8451665,01:05:06,01:05:06,OSM3479416341,33,0,0
R_SOTRACO_1_8451665,01:06:37,01:06:37,OSM5760583968,34,0,0
R_SOTRACO_1_8451665,01:08:01,01:08:01,OSM3479416339,35,0,0
R_SOTRACO_1_8451665,01:09:17,01:09:17,OSM2922116736,36,0,0
R_SOTRACO_1_8451665,01:10:45,01:10:45,OSM3387689075,37,0,0
R_SOTRACO_1_8451665,01:12:24,01:12:24,OSM3387645735,38,0,0
R_SOTRACO_4_8453469,00:00:00,00:00:00,OSM3387879769,1,0,0
R_SOTRACO_4_8453469,00:00:53,00:00:53,OSM3484240523,2,0,0
R_SOTRACO_4_8453469,00:02:33,00:02:33,OSM2922123026,3,0,0
R_SOTRACO_4_8453469,00:05:17,00:05:17,OSM3387689075,4,0,0
R_SOTRACO_4_8453469,00:06:57,00:06:57,OSM3387645735,5,0,0
R_SOTRACO_4_8453469,00:09:04,00:09:04,OSM2922113881,6,0,0
R_SOTRACO_4_8453469,00:10:27,00:10:27,OSM3387715418,7,0,0
R_SOTRACO_4_8453469,00:12:22,00:12:22,OSM5764575678,8,0,0
R_SOTRACO_4_8453469,00:15:09,00:15:09,OSM3387797708,9,0,0
R_SOTRACO_4_8453469,00:16:44,00:16:44,OSM7152354876,10,0,0
R_SOTRACO_4_8453469,00:19:17,00:19:17,OSM7152354874,11,0,0
R_SOTRACO_4_8453469,00:20:56,00:20:56,OSM7152354872,12,0,0
R_SOTRACO_4_8453469,00:24:18,00:24:18,OSM7152354871,13,0,0
R_SOTRACO_4_8453469,00:26:26,00:26:26,OSM3387806892,14,0,0
R_SOTRACO_4_8453469,00:30:39,00:30:39,OSM3623974569,15,0,0
R_SOTRACO_4_8453469,00:32:09,00:32:09,OSM3623949072,16,0,0
R_SOTRACO_4_8453469,00:34:23,00:34:23,OSM3387819938,17,0,0
R_SOTRACO_4_8453469,00:36:28,00:36:28,OSM3387816117,18,0,0
R_SOTRACO_4_8453469,00:38:12,00:38:12,OSM3387827697,19,0,0
R_SOTRACO_4_8453469,00:40:49,00:40:49,OSM3387827478,20,0,0
R_SOTRACO_4_8453469,00:43:02,00:43:02,OSM3387827477,21,0,0
R_SOTRACO_4_8453469,00:46:50,00:46:50,OSM3387843603,22,0,0
R_SOTRACO_4_8453480,00:00:00,00:00:00,OSM3387843603,1,0,0
R_SOTRACO_4_8453480,00:03:00,00:03:00,OSM5765413709,2,0,0
R_SOTRACO_4_8453480,00:04:02,00:04:02,OSM3437350153,3,0,0
R_SOTRACO_4_8453480,00:06:30,00:06:30,OSM3437385604,4,0,0
R_SOTRACO_4_8453480,00:08:45,00:08:45,OSM3387826923,5,0,0
R_SOTRACO_4_8453480,00:10:42,00:10:42,OSM3387849598,6,0,0
R_SOTRACO_4_8453480,00:11:36,00:11:36,OSM5769287992,7,0,0
R_SOTRACO_4_8453480,00:15:11,00:15:11,OSM3623949071,8,0,0
R_SOTRACO_4_8453480,00:16:40,00:16:40,OSM3623974568,9,0,0
R_SOTRACO_4_8453480,00:21:18,00:21:18,OSM3387854185,10,0,0
R_SOTRACO_4_8453480,00:23:08,00:23:08,OSM7153480089,11,0,0
R_SOTRACO_4_8453480,00:24:45,00:24:45,OSM7153480085,12,0,0
R_SOTRACO_4_8453480,00:26:52,00:26:52,OSM7153423383,13,0,0
R_SOTRACO_4_8453480,00:28:40,00:28:40,OSM7153423381,14,0,0
R_SOTRACO_4_8453480,00:31:33,00:31:33,OSM7153423379,15,0,0
R_SOTRACO_4_8453480,00:32:58,00:32:58,OSM3387861539,16,0,0
R_SOTRACO_4_8453480,00:35:41,00:35:41,OSM5764575679,17,0,0
R_SOTRACO_4_8453480,00:37:28,00:37:28,OSM3387867914,18,0,0
R_SOTRACO_4_8453480,00:39:02,00:39:02,OSM5766551054,19,0,0
R_SOTRACO_4_8453480,00:41:50,00:41:50,OSM3387627638,20,0,0
R_SOTRACO_4_8453480,00:43:48,00:43:48,OSM3184227189,21,0,0
R_SOTRACO_4_8453480,00:45:13,00:45:13,OSM2922118530,22,0,0
R_SOTRACO_4_8453480,00:47:01,00:47:01,OSM3387879769,23,0,0
R_SOTRACO_10_8454961,00:00:00,00:00:00,OSM3387879769,1,0,0
R_SOTRACO_10_8454961,00:00:53,00:00:53,OSM3484240523,2,0,0
R_SOTRACO_10_8454961,00:02:33,00:02:33,OSM2922123026,3,0,0
R_SOTRACO_10_8454961,00:05:17,00:05:17,OSM3387689075,4,0,0
R_SOTRACO_10_8454961,00:06:57,00:06:57,OSM3387645735,5,0,0
R_SOTRACO_10_8454961,00:09:04,00:09:04,OSM2922113881,6,0,0
R_SOTRACO_10_8454961,00:10:27,00:10:27,OSM3387715418,7,0,0
R_SOTRACO_10_8454961,00:12:18,00:12:18,OSM3488751758,8,0,0
R_SOTRACO_10_8454961,00:14:32,00:14:32,OSM3488751766,9,0,0
R_SOTRACO_10_8454961,00:18:10,00:18:10,OSM3488751772,10,0,0
R_SOTRACO_10_8454961,00:20:36,00:20:36,OSM3488751762,11,0,0
R_SOTRACO_10_8454961,00:23:46,00:23:46,OSM3488751768,12,0,0
R_SOTRACO_10_8454961,00:25:35,00:25:35,OSM3488738144,13,0,0
R_SOTRACO_10_8454961,00:28:22,00:28:22,OSM3488734485,14,0,0
R_SOTRACO_10_8454961,00:30:32,00:30:32,OSM3488734803,15,0,0
R_SOTRACO_10_8454961,00:32:11,00:32:11,OSM7083775126,16,0,0
R_SOTRACO_10_8454961,00:33:16,00:33:16,OSM3488734806,17,0,0
R_SOTRACO_10_8454961,00:36:14,00:36:14,OSM3488734489,18,0,0
R_SOTRACO_10_8454961,00:38:14,00:38:14,OSM3488734795,19,0,0
R_SOTRACO_10_8454961,00:41:13,00:41:13,OSM3488734491,20,0,0
R_SOTRACO_10_8454961,00:43:25,00:43:25,OSM3488721148,21,0,0
R_SOTRACO_10_8454961,00:46:12,00:46:12,OSM3488721144,22,0,0
R_SOTRACO_10_8454961,00:48:39,00:48:39,OSM3337634787,23,0,0
R_SOTRACO_10_8454961,00:50:29,00:50:29,OSM7158363827,24,0,0
R_SOTRACO_10_8454961,00:52:36,00:52:36,OSM7158371199,25,0,0
R_SOTRACO_10_8454961,00:54:32,00:54:32,OSM7158340541,26,0,0
R_SOTRACO_10_8454961,00:56:11,00:56:11,OSM7158366004,27,0,0
R_SOTRACO_10_8454961,00:58:47,00:58:47,OSM7158377648,28,0,0
R_SOTRACO_10_8454988,00:00:00,00:00:00,OSM7158377648,1,0,0
R_SOTRACO_10_8454988,00:02:40,00:02:40,OSM7158366003,2,0,0
R_SOTRACO_10_8454988,00:05:55,00:05:55,OSM7158371198,3,0,0
R_SOTRACO_10_8454988,00:07:58,00:07:58,OSM7158363826,4,0,0
R_SOTRACO_10_8454988,00:09:48,00:09:48,OSM7158370533,5,0,0
R_SOTRACO_10_8454988,00:12:32,00:12:32,OSM3488721146,6,0,0
R_SOTRACO_10_8454988,00:15:19,00:15:19,OSM3488721150,7,0,0
R_SOTRACO_10_8454988,00:17:42,00:17:42,OSM3488734793,8,0,0
R_SOTRACO_10_8454988,00:20:14,00:20:14,OSM3488734796,9,0,0
R_SOTRACO_10_8454988,00:22:00,00:22:00,OSM3488734486,10,0,0
R_SOTRACO_10_8454988,00:25:15,00:25:15,OSM3488734808,11,0,0
R_SOTRACO_10_8454988,00:27:37,00:27:37,OSM3488734804,12,0,0
R_SOTRACO_10_8454988,00:29:37,00:29:37,OSM3488734482,13,0,0
R_SOTRACO_10_8454988,00:31:29,00:31:29,OSM3488734800,14,0,0
R_SOTRACO_10_8454988,00:33:05,00:33:05,OSM3488738147,15,0,0
R_SOTRACO_10_8454988,00:35:00,00:35:00,OSM7158526385,16,0,0
R_SOTRACO_10_8454988,00:35:58,00:35:58,OSM3488751771,17,0,0
R_SOTRACO_10_8454988,00:38:16,00:38:16,OSM3488751761,18,0,0
R_SOTRACO_10_8454988,00:41:33,00:41:33,OSM3488751775,19,0,0
R_SOTRACO_10_8454988,00:44:09,00:44:09,OSM3488751765,20,0,0
R_SOTRACO_10_8454988,00:46:42,00:46:42,OSM3488751757,21,0,0
R_SOTRACO_10_8454988,00:48:23,00:48:23,OSM3387867914,22,0,0
R_SOTRACO_10_8454988,00:49:56,00:49:56,OSM5766551054,23,0,0
R_SOTRACO_10_8454988,00:52:44,00:52:44,OSM3387627638,24,0,0
