stop_id,stop_name,stop_lat,stop_lon
OSM3387645735,Naaba Koom,12.3726359,-1.5268887
OSM3387627638,SOBCA,12.3706845,-1.5226848
OSM3184227189,Place des Nations Unies,12.3716254,-1.5182691
OSM2922118530,CENTRE DE CONFERENCE SEMBENE OUSMANE,12.3721962,-1.5153393
OSM5760577916,RTB TELE,12.3728621,-1.5122003
OSM3479416353,CARFO Paspanga,12.379116,-1.5099976
OSM5760577910,RTB radio,12.3743984,-1.5055254
OSM5760577908,Université (U01),12.3759476,-1.4980959
OSM3572533345,École Communale,12.3759838,-1.4953258
OSM5763952988,Pharmacie Talba,12.3758548,-1.4911406
OSM5763964675,Station SKI,12.3756478,-1.4851432
OSM3572537621,Hôtel de Finances,12.3754708,-1.4800489
OSM3572539493,Musée National,12.3752352,-1.4734488
OSM7105179620,ALIMENTATION LA CORNICHE,12.3743051,-1.4731484
OSM3572540594,Lycée Bangré,12.3628427,-1.4808557
OSM3572540765,Lycée scientifique,12.3602887,-1.4825928
OSM3572541793,Arret 3572541793,12.3557677,-1.4856194
OSM3387754044,Mairie de Bogodogo,12.3516615,-1.4883562
OSM3387755502,SIAO,12.3483825,-1.4906875
OSM3387755086,Dispensaire secteur 30,12.3364445,-1.4986009
OSM3572551193,Lycée Wend Manegre,12.3338806,-1.4956364
OSM3572554295,Pressing KOADIMA,12.3320767,-1.4928342
OSM3572554194,Eglise de Trame d'acceuil,12.3298102,-1.4893668
OSM9283247739,Station SOGEL-B,12.3276877,-1.4860779
OSM9283230231,Station Fama,12.3249769,-1.4818883
OSM9283269925,Ecole Gueswendbala,12.3248499,-1.4793389
OSM9283204981,Pharmacie Magnificat,12.3289154,-1.4766124
OSM9283243739,Alimentation Bon Samaritin,12.3279111,-1.4740576
OSM9283257162,Station Elikan,12.3270143,-1.4726548
OSM9283279534,Clinique Kassam,12.3254611,-1.4702653
OSM9283283770,Lycée Thomas Sankara,12.3225904,-1.4656948
OSM9283297619,Groupe scolaire Leader,12.3208485,-1.462968
OSM9283271369,TGI Ouaga II,12.3187901,-1.4588173
OSM9283251434,Lycée Emeraud,12.3185543,-1.4574319
OSM9283283804,Terminus Station SOGEL-B,12.3179201,-1.4547792
OSM9283283805,Station SOGEL-B,12.3182556,-1.4553988
OSM9283251433,Lycée Emeraud,12.318568,-1.4569659
OSM9283271370,TGI Ouaga II,12.3189369,-1.4589749
OSM9283297620,Groupe scolaire Leader,12.3212435,-1.4633576
OSM9283283769,Lycée Thomas Sankara,12.3225092,-1.4653307
OSM9283279533,Clinique Kassam,12.3253811,-1.4698596
OSM9283243740,Alimentation Bon Samaritin,12.328219,-1.4743184
OSM9283204982,Pharmacie Magnificat,12.3286062,-1.4769477
OSM9283269924,Ecole Gueswendbala,12.3252272,-1.4792155
OSM9283230230,Station Fama,12.3248132,-1.4814109
OSM9283237355,Station SOGEL-B,12.3275488,-1.4856474
OSM3572555093,Eglise de Trame d'acceuil,12.3303333,-1.4899479
OSM3572554294,Pressing KOADIMA,12.3319412,-1.4923917
OSM3572552493,Lycée Wend Manegre,12.3336788,-1.4950405
OSM3387755088,LNSP,12.336795,-1.4980943
OSM3387755089,CMA du secteur 30,12.3402406,-1.4957668
OSM5764016080,Village artisanale (SIAO),12.3467935,-1.4913217
OSM3387754043,Mairie de Bogodogo,12.3515111,-1.4881898
OSM5764012070,Arret 5764012070,12.3550036,-1.4858231
OSM3572540766,Lycée scientifique,12.3597767,-1.4826226
OSM7104793844,ALIMENTATION LA CORNICHE,12.3741794,-1.4729365
OSM3572539894,Station SHELL,12.371443,-1.474773
OSM3572539494,Musée National,12.3754469,-1.4734562
OSM3572537622,Hôtel de Finances,12.3756603,-1.4800347
OSM3572536205,Station SKI,12.3758762,-1.485479
OSM3572535212,Pharmacie Talba,12.3760791,-1.4909108
OSM3572532623,École Communale,12.3762276,-1.4947128
OSM3572529335,Université (U01),12.3762189,-1.4979688
OSM3572530101,ENAM,12.3750114,-1.5036645
OSM3479416354,CARFO Paspanga,12.379117,-1.5102172
OSM3479416346,CSC,12.3762887,-1.510737
OSM3479416341,RTB,12.3731424,-1.5122681
OSM5760583968,DG Douanes,12.3725029,-1.5154542
OSM3479416339,Place des Nations Unies,12.3718392,-1.518329
OSM2922116736,SONAPOST SIEGE,12.3712466,-1.5208623
OSM3387689075,MAISON DU PEUPLE,12.3705939,-1.5239092
OSM3387879769,ZONE DES ECOLES,12.3757138,-1.5134454
OSM3484240523,LYCEE NELSON MANDELA,12.3753541,-1.5149
OSM2922123026,LYCEE PHILLIPE ZINDA KABORE,12.3730526,-1.5177525
OSM2922113881,PLACE DE LA NATION,12.368331,-1.5291833
OSM3387715418,LYCEE MARIEN N'GOUABI,12.3672323,-1.5318247
OSM5764575678,FESPACO,12.3643441,-1.5350362
OSM3387797708,SERVICE PASPORT,12.3608287,-1.540786
OSM7152354876,Collège les Grâces,12.3627825,-1.5436059
OSM7152354874,Ecole Nationale Police,12.3675981,-1.5472148
OSM7152354872,LONAB Gounghin,12.3659657,-1.5504382
OSM7152354871,Hôtel Yilgmdé,12.3579139,-1.5488818
OSM3387806892,PHARMACIE DU RIVAGE,12.3541025,-1.5519995
OSM3623974569,CAMP DE L'UNITE,12.3486091,-1.561135
OSM3623949072,SONABHY,12.3470034,-1.5638731
OSM3387819938,GENDARMERIE BOULMIOUGOU,12.3444879,-1.5684553
OSM3387816117,BSIC,12.3416553,-1.5723321
OSM3387827697,ECOLE DE LA FRATERNITE,12.3385531,-1.574548
OSM3387827478,PHARMACIE BOULMIOUGOU,12.3349028,-1.5796011
OSM3387827477,ECOLE ELYSEE,12.332075,-1.5839551
OSM3387843603,TERMINUS LIGNE 4 (SANDOGO),12.3246359,-1.5897494
OSM5765413709,BOULANGERIE WEND KONTA,12.3305547,-1.5855637
OSM3437350153,ECOLE ELYSEE,12.3318285,-1.5841302
OSM3437385604,PHARMACIE BOULMIOUGOU,12.3349887,-1.5791902
OSM3387826923,ECOLE DE LA FRATERNITE,12.3381075,-1.575008
OSM3387849598,BSIC,12.3411616,-1.5717905
OSM5769287992,STATION SHELL PISSY,12.342658,-1.571635
OSM3623949071,SBT,12.3468055,-1.5637309
OSM3623974568,CAMP DE L'UNITE,12.3484002,-1.5610033
OSM3387854185,PHARMACIE DU RIVAGE,12.3545172,-1.5508886
OSM7153480089,Maison retraités,12.3579512,-1.5486887
OSM7153480085,Collége les Grâces,12.3612262,-1.5498407
OSM7153423383,LONAB Gounghin,12.3660091,-1.5502068
OSM7153423381,Ecole Nationale Police,12.3676308,-1.546488
OSM7153423379,Pharmacie la Croix,12.3614096,-1.5434725
OSM3387861539,SERVICE PASPORT,12.3607083,-1.5405932
OSM5764575679,FESPACO,12.3641121,-1.5349893
OSM3387867914,LYCEE MARIEN N'GOUABI,12.3667722,-1.5320659
OSM5766551054,PLACE DE LA NATION,12.3681771,-1.528994
OSM3488751758,CBC,12.3636254,-1.5337806
OSM3488751766,Lycée Bambata,12.3585644,-1.5329065
OSM3488751772,Pharmacie Naba Raaga,12.3497913,-1.5314126
OSM3488751762,ENT,12.34415,-1.5322543
OSM3488751768,Mosquée Saha,12.3366186,-1.5309267
OSM3488738144,STATION PETROFA,12.3333934,-1.5285032
OSM3488734485,ACTION SOCIALE DU CENTRE,12.3268323,-1.5276483
OSM3488734803,PHARMACIE DU FASO,12.3219656,-1.5285095
OSM7083775126,STATION PETROFA,12.3184128,-1.5286351
OSM3488734806,Station Total,12.3163772,-1.528621
OSM3488734489,Ecole Maneg-Somde,12.3093089,-1.5289122
OSM3488734795,Ouaga 2000,12.3048068,-1.5290077
OSM3488734491,Nagrin,12.2976645,-1.5292619
OSM3488721148,Ecole Kossiam,12.2926361,-1.5294579
OSM3488721144,CSPS de Nagrin,12.2860233,-1.5297318
OSM3337634787,Ancien terminus Tengandogo,12.2802926,-1.5299383
OSM7158363827,Arret 7158363827,12.276279,-1.5301553
OSM7158371199,Arret 7158371199,12.2714841,-1.5304202
OSM7158340541,Arret 7158340541,12.2671569,-1.5305999
OSM7158366004,Blaise Compaoré,12.2635917,-1.5304906
OSM7158377648,Terminus CHU Tengandogo,12.2627471,-1.536655
OSM7158366003,Blaise Compaoré,12.2637837,-1.5303162
OSM7158371198,Arret 7158371198,12.2716531,-1.5302163
OSM7158363826,Arret 7158363826,12.2762823,-1.5299702
OSM7158370533,Ancien terminus Tengandogo,12.2803191,-1.529755
OSM3488721146,CSPS de Nagrin,12.2867813,-1.5294386
OSM3488721150,Ecole Kossiam,12.2933841,-1.5301977
OSM3488734793,Nagrin,12.2987901,-1.5289846
OSM3488734796,Ouaga 2000,12.3046897,-1.5288058
OSM3488734486,Ecole Maneg-Somde,12.308578,-1.5286657
OSM3488734808,Station Total,12.3164163,-1.5283822
OSM3488734804,PHARMACIE DU FASO,12.3219272,-1.5283109
OSM3488734482,ACTION SOCIALE DU CENTRE,12.3263345,-1.527522
OSM3488734800,PHARMACIE KABORE DOMINIQUE,12.3303734,-1.5265578
OSM3488738147,STATION PETROFA,12.3334949,-1.5279975
OSM7158526385,Mosquée Saha,12.3367521,-1.5308339
OSM3488751771,Mosquée Saha,12.3383544,-1.531454
OSM3488751761,ENT,12.3436151,-1.5320921
OSM3488751775,Pharmacie Naba Raaga,12.3515722,-1.5315957
OSM3488751765,Lycée Bambata,12.357584,-1.5326422
OSM3488751757,CBC,12.3634692,-1.5336396
OSM5767056585,Terminus Balkuy,12.2909228,-1.46285
OSM5767056587,Station Shell /Balkuy,12.2940683,-1.4681574
OSM5767056593,Station Shell Balkuy,12.302856,-1.4757581
OSM5767056595,Alimentation Moukoto,12.3093196,-1.4814015
OSM3479416294,Pharmacie Balkuy,12.3131925,-1.4847265
OSM5767056596,Chez Alex,12.3152604,-1.4864383
OSM5767056600,SONABEL Ouaga 2000,12.322595,-1.4928009
OSM5767056604,Camp Gle Baba SY,12.3270248,-1.4966404
OSM9413761829,IAM,12.3273641,-1.5019378
OSM3479416311,SONABEL Karpala,12.3348601,-1.4999639
OSM3479416307,ZAD/ Rond point de cyclistes,12.3330813,-1.507232
OSM3479416315,ZAD,12.3363583,-1.5081014
OSM3479416318,GIROVY,12.3391519,-1.5084318
OSM3479416323,Toècé Yaar,12.3439352,-1.5052681
OSM3479416326,AOF,12.3475251,-1.5028154
OSM3479416328,Kalgodin,12.3506742,-1.5007124
OSM4062208574,Multimédia 2000,12.3563333,-1.4968899
OSM5766639601,Clinique SANDOF,12.359704,-1.4942479
OSM5766639607,Super marché,12.3633445,-1.4941366
OSM5766639611,Saint Camille,12.3672771,-1.4939636
OSM3479416337,LTK,12.370568,-1.493874
OSM3479416345,INSTITUT SUP. MANAGEMENT ET DE TECHNOLOGIE,12.3739627,-1.4937227
OSM7086086404,Université JKZ,12.3784759,-1.4964674
OSM7086309707,ENESA,12.3863656,-1.4974123
OSM3479416366,CHU Yalgado,12.3832362,-1.5050823
OSM3479416362,Lycée Bogodogo,12.3810549,-1.507804
OSM9363691611,CSC,12.375934,-1.5104703
OSM3484228098,Lycée Bogodogo,12.3817284,-1.5065975
OSM3479416367,CHU YALGADO,12.3829396,-1.50497
OSM7086374041,ENESA,12.3860799,-1.4976194
OSM7084938936,Université JKZ,12.3778898,-1.4966344
OSM7194011611,INSTITUT SUP. MANAGEMENT ET DE TECHNOLOGIE,12.3733619,-1.4939502
