route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
R_SOTRACO_1,DAILY,R_SOTRACO_1_8451637,Terminus Station SOGEL-B,0,SHAPE_8451637
R_SOTRACO_1,DAILY,R_SOTRACO_1_8451665,Naaba Koom,1,SHAPE_8451665
R_SOTRACO_4,DAILY,R_SOTRACO_4_8453469,Terminus Sandogo II,0,SHAPE_8453469
R_SOTRACO_4,DAILY,R_SOTRACO_4_8453480,Zone des écoles,1,SHAPE_8453480
R_SOTRACO_10,DAILY,R_SOTRACO_10_8454961,Terminus CHU Tengandogo,0,SHAPE_8454961
R_SOTRACO_10,DAILY,R_SOTRACO_10_8454988,Zone des écoles,1,SHAPE_8454988
R_SOTRACO_2B,DAILY,R_SOTRACO_2B_8455879,Naaba Koom,0,SHAPE_8455879
R_SOTRACO_2B,DAILY,R_SOTRACO_2B_8455880,Terminus Balkuy,1,SHAPE_8455880
R_SOTRACO_12,DAILY,R_SOTRACO_12_8456870,Zone des écoles,0,SHAPE_8456870
R_SOTRACO_12,DAILY,R_SOTRACO_12_8456871,Terminus Bonnheur ville,1,SHAPE_8456871
R_SOTRACO_4B,DAILY,R_SOTRACO_4B_8458645,Terminus Zagtouli,0,SHAPE_8458645
R_SOTRACO_2,DAILY,R_SOTRACO_2_8461594,Terminus Lycée Communal,0,SHAPE_8461594
R_SOTRACO_6,DAILY,R_SOTRACO_6_8463451,Naaba Koom,0,SHAPE_8463451
R_SOTRACO_6,DAILY,R_SOTRACO_6_8463452,Terminus Koulwéoghin,1,SHAPE_8463452
R_SOTRACO_6B,DAILY,R_SOTRACO_6B_8463672,Terminus Péage,0,SHAPE_8463672
R_SOTRACO_6B,DAILY,R_SOTRACO_6B_8463688,Naaba Koom,1,SHAPE_8463688
R_SOTRACO_3,DAILY,R_SOTRACO_3_8488262,Terminus Zone des écoles,0,SHAPE_8488262
R_SOTRACO_3,DAILY,R_SOTRACO_3_8488263,Terminus Bissighin,1,SHAPE_8488263
R_SOTRACO_3LSE,DAILY,R_SOTRACO_3LSE_8513929,SIAO,0,SHAPE_8513929
R_SOTRACO_3LSE,DAILY,R_SOTRACO_3LSE_8513930,Cité Chinoise,1,SHAPE_8513930
R_SOTRACO_3LCI,DAILY,R_SOTRACO_3LCI_10328167,Ancienne gare de Ziniaré,0,SHAPE_10328167
R_SOTRACO_5LIC,DAILY,R_SOTRACO_5LIC_10399450,Marché de Koubri,0,SHAPE_10399450
R_SOTRACO_5LIC,DAILY,R_SOTRACO_5LIC_10399470,Ouaga Inter,1,SHAPE_10399470
R_SOTRACO_5,DAILY,R_SOTRACO_5_10488050,Terminus Barogo,0,SHAPE_10488050
R_SOTRACO_5,DAILY,R_SOTRACO_5_10514456,Naaba Koom,1,SHAPE_10514456
R_SOTRACO_5b,DAILY,R_SOTRACO_5b_10528059,Terminus barrage Kango,0,SHAPE_10528059
R_SOTRACO_5b,DAILY,R_SOTRACO_5b_10528169,Naaba Koom,1,SHAPE_10528169
R_SOTRACO_9,DAILY,R_SOTRACO_9_10529305,Terminus Saaba,0,SHAPE_10529305
R_SOTRACO_9,DAILY,R_SOTRACO_9_10529314,Naaba Koom,1,SHAPE_10529314
