trip_id,start_time,end_time,headway_secs,exact_times
R_SOTRACO_1_12924045,05:30:00,06:00:00,1800,0
R_SOTRACO_1_12924045,06:00:00,18:00:00,1200,0
R_SOTRACO_1_12924045,18:00:00,19:30:00,1800,0
R_SOTRACO_1_12924045,19:30:00,21:30:00,2700,0
R_SOTRACO_3_12924266,05:30:00,06:00:00,1800,0
R_SOTRACO_3_12924266,06:00:00,18:00:00,1200,0
R_SOTRACO_3_12924266,18:00:00,19:30:00,1800,0
R_SOTRACO_3_12924266,19:30:00,21:30:00,2700,0
R_SOTRACO_3_12924493,05:30:00,06:00:00,1800,0
R_SOTRACO_3_12924493,06:00:00,18:00:00,1200,0
R_SOTRACO_3_12924493,18:00:00,19:30:00,1800,0
R_SOTRACO_3_12924493,19:30:00,21:30:00,2700,0
R_SOTRACO_2_12924725,05:30:00,06:00:00,1800,0
R_SOTRACO_2_12924725,06:00:00,18:00:00,1200,0
R_SOTRACO_2_12924725,18:00:00,19:30:00,1800,0
R_SOTRACO_2_12924725,19:30:00,21:30:00,2700,0
R_SOTRACO_2_12924775,05:30:00,06:00:00,1800,0
R_SOTRACO_2_12924775,06:00:00,18:00:00,1200,0
R_SOTRACO_2_12924775,18:00:00,19:30:00,1800,0
R_SOTRACO_2_12924775,19:30:00,21:30:00,2700,0
R_SOTRACO_LSE1_12924814,05:30:00,06:00:00,1800,0
R_SOTRACO_LSE1_12924814,06:00:00,18:00:00,1200,0
R_SOTRACO_LSE1_12924814,18:00:00,19:30:00,1800,0
R_SOTRACO_LSE1_12924814,19:30:00,21:30:00,2700,0
R_SOTRACO_LSE1_12924928,05:30:00,06:00:00,1800,0
R_SOTRACO_LSE1_12924928,06:00:00,18:00:00,1200,0
R_SOTRACO_LSE1_12924928,18:00:00,19:30:00,1800,0
R_SOTRACO_LSE1_12924928,19:30:00,21:30:00,2700,0
R_SOTRACO_LSE2_12931425,05:30:00,06:00:00,1800,0
R_SOTRACO_LSE2_12931425,06:00:00,18:00:00,1200,0
R_SOTRACO_LSE2_12931425,18:00:00,19:30:00,1800,0
R_SOTRACO_LSE2_12931425,19:30:00,21:30:00,2700,0
R_SOTRACO_LSE2_12931491,05:30:00,06:00:00,1800,0
R_SOTRACO_LSE2_12931491,06:00:00,18:00:00,1200,0
R_SOTRACO_LSE2_12931491,18:00:00,19:30:00,1800,0
R_SOTRACO_LSE2_12931491,19:30:00,21:30:00,2700,0
