shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHAPE_12924045,13.582302,-2.4179247,1
SHAPE_12924045,13.582538,-2.4179901,2
SHAPE_12924045,13.5828474,-2.4180773,3
SHAPE_12924045,13.5830144,-2.4181244,4
SHAPE_12924045,13.5833798,-2.4182274,5
SHAPE_12924045,13.5841982,-2.4184581,6
SHAPE_12924045,13.5848747,-2.4186488,7
SHAPE_12924045,13.585017,-2.4187329,8
SHAPE_12924045,13.5850495,-2.4187812,9
SHAPE_12924045,13.5850925,-2.4188282,10
SHAPE_12924045,13.585618,-2.4192656,11
SHAPE_12924045,13.5856935,-2.4193284,12
SHAPE_12924045,13.582302,-2.4179247,13
SHAPE_12924045,13.5820619,-2.4176366,14
SHAPE_12924045,13.5820133,-2.4175364,15
SHAPE_12924045,13.5819384,-2.4174553,16
SHAPE_12924045,13.5818439,-2.4174002,17
SHAPE_12924045,13.5817671,-2.4173793,18
SHAPE_12924045,13.5816877,-2.4173758,19
SHAPE_12924045,13.5816096,-2.4173898,20
SHAPE_12924045,13.5815362,-2.4174207,21
SHAPE_12924045,13.581471,-2.417467,22
SHAPE_12924045,13.5814169,-2.4175266,23
SHAPE_12924045,13.5810341,-2.4175785,24
SHAPE_12924045,13.5807741,-2.4175067,25
SHAPE_12924045,13.5794194,-2.417131,26
SHAPE_12924045,13.5787453,-2.416944,27
SHAPE_12924045,13.578161,-2.4167819,28
SHAPE_12924045,13.5772477,-2.4165337,29
SHAPE_12924045,13.5765532,-2.4163486,30
SHAPE_12924045,13.5756947,-2.4160166,31
SHAPE_12924045,13.5755994,-2.4166141,32
SHAPE_12924045,13.5755917,-2.4166632,33
SHAPE_12924045,13.5755869,-2.416694,34
SHAPE_12924045,13.5754299,-2.417697,35
SHAPE_12924045,13.5738625,-2.4174338,36
SHAPE_12924045,13.5736344,-2.4173265,37
SHAPE_12924045,13.5735653,-2.4172989,38
SHAPE_12924045,13.5734582,-2.417244,39
SHAPE_12924045,13.5732682,-2.4171194,40
SHAPE_12924045,13.5729887,-2.4168817,41
SHAPE_12924045,13.5728112,-2.4166676,42
SHAPE_12924045,13.572643,-2.4164262,43
SHAPE_12924045,13.5724707,-2.4161112,44
SHAPE_12924045,13.5722434,-2.4157088,45
SHAPE_12924045,13.5719481,-2.4153273,46
SHAPE_12924045,13.5716847,-2.4151124,47
SHAPE_12924045,13.5714367,-2.414964,48
SHAPE_12924045,13.5711075,-2.4148418,49
SHAPE_12924045,13.5708043,-2.4147594,50
SHAPE_12924045,13.5705306,-2.4146849,51
SHAPE_12924045,13.570163,-2.414585,52
SHAPE_12924045,13.5676225,-2.4138944,53
SHAPE_12924045,13.5665064,-2.413591,54
SHAPE_12924045,13.5663292,-2.4135428,55
SHAPE_12924045,13.5656549,-2.4133595,56
SHAPE_12924045,13.5632243,-2.412693,57
SHAPE_12924045,13.5628367,-2.4126001,58
SHAPE_12924045,13.5626304,-2.4125372,59
SHAPE_12924045,13.5620674,-2.412384,60
SHAPE_12924045,13.5619152,-2.4123426,61
SHAPE_12924045,13.5615222,-2.4122354,62
SHAPE_12924045,13.5613255,-2.4121817,63
SHAPE_12924045,13.560786,-2.4120328,64
SHAPE_12924045,13.5606689,-2.4120024,65
SHAPE_12924045,13.560577,-2.4119785,66
SHAPE_12924045,13.5602815,-2.4118981,67
SHAPE_12924045,13.5600008,-2.4118217,68
SHAPE_12924045,13.5593264,-2.4116382,69
SHAPE_12924045,13.558525,-2.4114201,70
SHAPE_12924045,13.5584385,-2.4113966,71
SHAPE_12924045,13.5577945,-2.4112214,72
SHAPE_12924045,13.5571143,-2.4110223,73
SHAPE_12924045,13.556928,-2.4109677,74
SHAPE_12924045,13.5563294,-2.4108142,75
SHAPE_12924045,13.5560824,-2.4107519,76
SHAPE_12924045,13.5550102,-2.4104441,77
SHAPE_12924045,13.5544468,-2.4102902,78
SHAPE_12924045,13.5538256,-2.4101226,79
SHAPE_12924045,13.5527007,-2.409825,80
SHAPE_12924045,13.5516519,-2.40953,81
SHAPE_12924045,13.5514487,-2.4094824,82
SHAPE_12924045,13.551082,-2.4093856,83
SHAPE_12924045,13.5509447,-2.4093493,84
SHAPE_12924045,13.5496622,-2.4090106,85
SHAPE_12924045,13.5488584,-2.4087908,86
SHAPE_12924045,13.5486515,-2.4087342,87
SHAPE_12924045,13.5482052,-2.4086122,88
SHAPE_12924045,13.5467121,-2.4082053,89
SHAPE_12924045,13.5463762,-2.4081116,90
SHAPE_12924045,13.5460288,-2.4080032,91
SHAPE_12924045,13.5454081,-2.407807,92
SHAPE_12924045,13.5449773,-2.4076526,93
SHAPE_12924045,13.5444923,-2.4074631,94
SHAPE_12924045,13.5426977,-2.4067621,95
SHAPE_12924045,13.5425567,-2.4066509,96
SHAPE_12924045,13.5420052,-2.4064323,97
SHAPE_12924045,13.5414808,-2.4062156,98
SHAPE_12924045,13.5416297,-2.4056478,99
SHAPE_12924045,13.5417192,-2.4052991,100
SHAPE_12924045,13.5417666,-2.4051145,101
SHAPE_12924045,13.5419778,-2.4042852,102
SHAPE_12924045,13.5423886,-2.4025973,103
SHAPE_12924045,13.5426621,-2.4014443,104
SHAPE_12924045,13.543076,-2.3998326,105
SHAPE_12924045,13.5434418,-2.3984286,106
SHAPE_12924045,13.5435303,-2.3980769,107
SHAPE_12924045,13.5436549,-2.397553,108
SHAPE_12924045,13.5437381,-2.3972026,109
SHAPE_12924045,13.5437691,-2.3970949,110
SHAPE_12924045,13.5438139,-2.3969269,111
SHAPE_12924045,13.5438646,-2.3967227,112
SHAPE_12924045,13.5437774,-2.3967004,113
SHAPE_12924045,13.5428829,-2.3964719,114
SHAPE_12924045,13.542192,-2.3962934,115
SHAPE_12924045,13.541688,-2.3957314,116
SHAPE_12924045,13.5416027,-2.3956363,117
SHAPE_12924045,13.5414775,-2.3955129,118
SHAPE_12924045,13.5411999,-2.3953255,119
SHAPE_12924045,13.5411598,-2.3952843,120
SHAPE_12924045,13.5412382,-2.3949332,121
SHAPE_12924045,13.5412522,-2.3948555,122
SHAPE_12924045,13.5412679,-2.3947885,123
SHAPE_12924266,13.5508337,-2.4397323,1
SHAPE_12924266,13.5508873,-2.4397025,2
SHAPE_12924266,13.5514708,-2.4393778,3
SHAPE_12924266,13.5520994,-2.439028,4
SHAPE_12924266,13.5525895,-2.4387553,5
SHAPE_12924266,13.5530824,-2.438481,6
SHAPE_12924266,13.5538302,-2.4380633,7
SHAPE_12924266,13.5566435,-2.4364919,8
SHAPE_12924266,13.5589429,-2.435223,9
SHAPE_12924266,13.5592195,-2.4350506,10
SHAPE_12924266,13.5602285,-2.4343626,11
SHAPE_12924266,13.5612359,-2.4335469,12
SHAPE_12924266,13.5616214,-2.4331607,13
SHAPE_12924266,13.5619446,-2.432813,14
SHAPE_12924266,13.5625998,-2.4321079,15
SHAPE_12924266,13.5633969,-2.4312,16
SHAPE_12924266,13.5636748,-2.4308835,17
SHAPE_12924266,13.5639362,-2.4305857,18
SHAPE_12924266,13.564232,-2.4302488,19
SHAPE_12924266,13.5645542,-2.4298858,20
SHAPE_12924266,13.5648005,-2.4296083,21
SHAPE_12924266,13.5650534,-2.429319,22
SHAPE_12924266,13.5659682,-2.4282657,23
SHAPE_12924266,13.566762,-2.4273638,24
SHAPE_12924266,13.5668908,-2.4272151,25
SHAPE_12924266,13.5671353,-2.4269327,26
SHAPE_12924266,13.5674587,-2.4265594,27
SHAPE_12924266,13.5675822,-2.426418,28
SHAPE_12924266,13.5680376,-2.4258966,29
SHAPE_12924266,13.5688506,-2.4249548,30
