trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R_SOTRACO_1_12924045,00:00:00,00:00:00,OSM7682647924,1,0,0
R_SOTRACO_1_12924045,00:01:27,00:01:27,OSM7682647922,2,0,0
R_SOTRACO_1_12924045,00:03:22,00:03:22,OSM7682638048,3,0,0
R_SOTRACO_1_12924045,00:04:52,00:04:52,OSM7682638046,4,0,0
R_SOTRACO_1_12924045,00:05:42,00:05:42,OSM7682727722,5,0,0
R_SOTRACO_1_12924045,00:07:51,00:07:51,OSM7682719333,6,0,0
R_SOTRACO_1_12924045,00:09:48,00:09:48,OSM7682718762,7,0,0
R_SOTRACO_1_12924045,00:12:18,00:12:18,OSM7682720934,8,0,0
R_SOTRACO_1_12924045,00:14:00,00:14:00,OSM7687427786,9,0,0
R_SOTRACO_1_12924045,00:16:42,00:16:42,OSM7687427787,10,0,0
R_SOTRACO_1_12924045,00:17:54,00:17:54,OSM7682765864,11,0,0
R_SOTRACO_1_12924045,00:21:05,00:21:05,OSM7682756597,12,0,0
R_SOTRACO_1_12924045,00:25:11,00:25:11,OSM7682638061,13,0,0
R_SOTRACO_3_12924266,00:00:00,00:00:00,OSM7687404037,1,0,0
R_SOTRACO_3_12924266,00:06:10,00:06:10,OSM7687370767,2,0,0
R_SOTRACO_3_12924266,00:08:08,00:08:08,OSM7687413304,3,0,0
R_SOTRACO_3_12924266,00:12:07,00:12:07,OSM7687405285,4,0,0
R_SOTRACO_3_12924266,00:13:16,00:13:16,OSM7682727721,5,0,0
R_SOTRACO_3_12924266,00:14:10,00:14:10,OSM7682638047,6,0,0
R_SOTRACO_3_12924266,00:15:31,00:15:31,OSM7687384696,7,0,0
R_SOTRACO_3_12924266,00:18:33,00:18:33,OSM7687374061,8,0,0
R_SOTRACO_3_12924266,00:31:16,00:31:16,OSM7687363395,9,0,0
R_SOTRACO_3_12924493,00:00:00,00:00:00,OSM7687374060,1,0,0
R_SOTRACO_3_12924493,00:02:50,00:02:50,OSM7687384695,2,0,0
R_SOTRACO_3_12924493,00:04:17,00:04:17,OSM7682638046,3,0,0
R_SOTRACO_3_12924493,00:05:07,00:05:07,OSM7682727722,4,0,0
R_SOTRACO_3_12924493,00:07:22,00:07:22,OSM7687413305,5,0,0
R_SOTRACO_3_12924493,00:10:09,00:10:09,OSM7687413303,6,0,0
R_SOTRACO_3_12924493,00:12:24,00:12:24,OSM7687370768,7,0,0
R_SOTRACO_3_12924493,00:18:26,00:18:26,OSM7687404037,8,0,0
R_SOTRACO_2_12924725,00:00:00,00:00:00,OSM7682690571,1,0,0
R_SOTRACO_2_12924725,00:01:53,00:01:53,OSM7682666940,2,0,0
R_SOTRACO_2_12924725,00:03:44,00:03:44,OSM7682654419,3,0,0
R_SOTRACO_2_12924725,00:06:17,00:06:17,OSM7682661379,4,0,0
R_SOTRACO_2_12924725,00:08:40,00:08:40,OSM7682674263,5,0,0
R_SOTRACO_2_12924725,00:09:59,00:09:59,OSM7682646430,6,0,0
R_SOTRACO_2_12924725,00:12:15,00:12:15,OSM7682648159,7,0,0
R_SOTRACO_2_12924725,00:13:35,00:13:35,OSM7682650766,8,0,0
R_SOTRACO_2_12924725,00:16:47,00:16:47,OSM7682660912,9,0,0
R_SOTRACO_2_12924725,00:23:39,00:23:39,OSM8898038803,10,0,0
R_SOTRACO_2_12924775,00:00:00,00:00:00,OSM8898038803,1,0,0
R_SOTRACO_2_12924775,00:06:56,00:06:56,OSM7682660911,2,0,0
R_SOTRACO_2_12924775,00:10:05,00:10:05,OSM7682650765,3,0,0
R_SOTRACO_2_12924775,00:11:26,00:11:26,OSM7682648158,4,0,0
R_SOTRACO_2_12924775,00:13:32,00:13:32,OSM7682646431,5,0,0
R_SOTRACO_2_12924775,00:14:55,00:14:55,OSM7682674264,6,0,0
R_SOTRACO_2_12924775,00:17:09,00:17:09,OSM7682661380,7,0,0
R_SOTRACO_2_12924775,00:19:18,00:19:18,OSM7682654420,8,0,0
R_SOTRACO_2_12924775,00:22:24,00:22:24,OSM7682666939,9,0,0
R_SOTRACO_2_12924775,00:24:02,00:24:02,OSM7682690571,10,0,0
R_SOTRACO_LSE1_12924814,00:00:00,00:00:00,OSM7687390733,1,0,0
R_SOTRACO_LSE1_12924814,00:11:43,00:11:43,OSM7687390734,2,0,0
R_SOTRACO_LSE1_12924814,00:22:04,00:22:04,OSM7687390735,3,0,0
R_SOTRACO_LSE1_12924814,00:24:39,00:24:39,OSM7687390736,4,0,0
R_SOTRACO_LSE1_12924814,00:27:45,00:27:45,OSM7682765865,5,0,0
R_SOTRACO_LSE1_12924814,00:28:56,00:28:56,OSM7687375062,6,0,0
R_SOTRACO_LSE1_12924814,00:32:08,00:32:08,OSM7687318414,7,0,0
R_SOTRACO_LSE1_12924814,00:33:36,00:33:36,OSM7682720935,8,0,0
R_SOTRACO_LSE1_12924814,00:35:51,00:35:51,OSM7682718763,9,0,0
R_SOTRACO_LSE1_12924814,00:37:50,00:37:50,OSM7682719334,10,0,0
R_SOTRACO_LSE1_12924814,00:39:49,00:39:49,OSM7682727721,11,0,0
R_SOTRACO_LSE1_12924814,00:40:43,00:40:43,OSM7682638047,12,0,0
R_SOTRACO_LSE1_12924814,00:41:23,00:41:23,OSM7682674264,13,0,0
R_SOTRACO_LSE1_12924928,00:00:00,00:00:00,OSM7682674263,1,0,0
R_SOTRACO_LSE1_12924928,00:00:39,00:00:39,OSM7682638046,2,0,0
R_SOTRACO_LSE1_12924928,00:01:29,00:01:29,OSM7682727722,3,0,0
R_SOTRACO_LSE1_12924928,00:03:38,00:03:38,OSM7682719333,4,0,0
R_SOTRACO_LSE1_12924928,00:05:35,00:05:35,OSM7682718762,5,0,0
R_SOTRACO_LSE1_12924928,00:08:05,00:08:05,OSM7682720934,6,0,0
R_SOTRACO_LSE1_12924928,00:09:46,00:09:46,OSM7687427786,7,0,0
R_SOTRACO_LSE1_12924928,00:12:28,00:12:28,OSM7687427787,8,0,0
R_SOTRACO_LSE1_12924928,00:13:41,00:13:41,OSM7682765864,9,0,0
R_SOTRACO_LSE1_12924928,00:16:59,00:16:59,OSM7687427788,10,0,0
R_SOTRACO_LSE1_12924928,00:19:50,00:19:50,OSM7687427789,11,0,0
R_SOTRACO_LSE1_12924928,00:29:39,00:29:39,OSM7687427790,12,0,0
R_SOTRACO_LSE1_12924928,00:40:34,00:40:34,OSM7687427791,13,0,0
R_SOTRACO_LSE1_12924928,00:42:35,00:42:35,OSM7687390733,14,0,0
R_SOTRACO_LSE2_12931425,00:00:00,00:00:00,OSM7682690571,1,0,0
R_SOTRACO_LSE2_12931425,00:01:53,00:01:53,OSM7682666940,2,0,0
R_SOTRACO_LSE2_12931425,00:03:44,00:03:44,OSM7682654419,3,0,0
R_SOTRACO_LSE2_12931425,00:06:17,00:06:17,OSM7682661379,4,0,0
R_SOTRACO_LSE2_12931425,00:08:40,00:08:40,OSM7682674263,5,0,0
R_SOTRACO_LSE2_12931491,00:00:00,00:00:00,OSM7682674264,1,0,0
R_SOTRACO_LSE2_12931491,00:02:14,00:02:14,OSM7682661380,2,0,0
R_SOTRACO_LSE2_12931491,00:04:23,00:04:23,OSM7682654420,3,0,0
R_SOTRACO_LSE2_12931491,00:07:29,00:07:29,OSM7682666939,4,0,0
R_SOTRACO_LSE2_12931491,00:09:07,00:09:07,OSM7682690571,5,0,0
