stop_id,stop_name,stop_lat,stop_lon
OSM7682647924,Ecole Wend Puirée,13.5856234,-2.4192584
OSM7682647922,Grande mosquée,13.5828634,-2.4179699
OSM7682638048,Stade municipal,13.5787714,-2.4168608
OSM7682638046,Place de la Nation,13.5755898,-2.4165992
OSM7682727722,Agence Telmob,13.5745541,-2.4174884
OSM7682719333,Coris banque,13.5705454,-2.4146117
OSM7682718762,Collège ste Marie,13.5663398,-2.4134302
OSM7682720934,Cathédrale,13.5606765,-2.4119577
OSM7687427786,Route routière,13.557125,-2.4109799
OSM7687427787,Chambre de commerce,13.5509554,-2.4093016
OSM7682765864,Boulangére Wend Konta,13.548665,-2.4086653
OSM7682756597,April oil,13.5417549,-2.4053004
OSM7682638061,Terminus hôpital,13.5412855,-2.3948573
OSM7687404037,Eglise AD Fourouma,13.5508632,-2.4396287
OSM7687370767,Institut Supéreiru de Gestion (ISG),13.5639579,-2.4306232
OSM7687413304,Lycée municipal,13.5669238,-2.4272664
OSM7687405285,Gendarmérie,13.5728314,-2.4191675
OSM7682727721,Agence Telmob,13.5743742,-2.4175702
OSM7682638047,Place de la Nation,13.5756225,-2.416675
OSM7687384696,Mairie centrale,13.5783425,-2.4164008
OSM7687374061,Chambery,13.5824371,-2.4101901
OSM7687363395,Pied à terre,13.6028193,-2.3829389
OSM7687374060,Chambery,13.582426,-2.4100332
OSM7687384695,Mairie centrale,13.5784337,-2.4156417
OSM7687413305,CSPS,13.5712566,-2.4216254
OSM7687413303,Lycée municipal,13.5671181,-2.426903
OSM7687370768,Institut Supéreiru de Gestion (ISG),13.5636646,-2.4308445
OSM7682690571,ENEP,13.5700513,-2.3973718
OSM7682666940,Lycée professionnel,13.5689732,-2.4015453
OSM7682654419,Lycée Amara,13.5714632,-2.4048793
OSM7682661379,SONAGESS,13.5744101,-2.4102451
OSM7682674263,Gouvernorat du Nord,13.5757411,-2.4157295
OSM7682646430,Ancienne mairie,13.5779579,-2.4172899
OSM7682648159,Salle de ciné,13.5801311,-2.4221393
OSM7682650766,Lycée Yadga,13.5817801,-2.4243575
OSM7682660912,Agence ONEA,13.586473,-2.430654
OSM8898038803,Camp militaire,13.6004437,-2.4417342
OSM7682660911,Agence ONEA,13.5864339,-2.430414
OSM7682650765,Lycée Yadga,13.5818166,-2.4242301
OSM7682648158,Salle de ciné,13.5801519,-2.4219811
OSM7682646431,Ancienne mairie,13.5780309,-2.4175622
OSM7682674264,Gouvernorat du Nord,13.5758004,-2.4157946
OSM7682661380,SONAGESS,13.5746467,-2.4106649
OSM7682654420,Lycée Amara,13.5724748,-2.4061132
OSM7682666939,Lycée professionnel,13.5677973,-2.4001399
OSM7687390733,Université,13.4800735,-2.3913892
OSM7687390734,Village de Soniaga,13.5105967,-2.3950524
OSM7687390735,Lycée privé source du savoir,13.536131,-2.4041373
OSM7687390736,April oil,13.5417594,-2.4064779
OSM7682765865,Boulangére Wend Konta,13.548858,-2.4088208
OSM7687375062,Chambre de commerce,13.5510812,-2.4094025
OSM7687318414,Gare routière,13.5585266,-2.4114829
OSM7682720935,Cathédrale,13.5615213,-2.4122581
OSM7682718763,Collège ste Marie,13.5664753,-2.413677
OSM7682719334,Coris banque,13.5708009,-2.4147968
OSM7687427788,April oil,13.5411008,-2.4060473
OSM7687427789,Lycée privé source du savoir,13.5347428,-2.4034926
OSM7687427790,Village de Soniaga,13.5105993,-2.394821
OSM7687427791,Pat université,13.4828722,-2.3877528
