service_id,date,exception_type
A  01FP001_008001,20260712,1
A  01LP001_008001,20260709,1
A  01LP001_008001,20260710,1
A  01LP001_008001,20260713,1
A  01LP001_008001,20260714,1
A  01LP001_008001,20260715,1
A  01SP001_008001,20260711,1
A  02FP000_008002,20260712,1
A  02LP000_008002,20260709,1
A  02LP000_008002,20260710,1
A  02LP000_008002,20260713,1
A  02LP000_008002,20260714,1
A  02LP000_008002,20260715,1
A  02SP000_008002,20260711,1
A  03FP000_008003,20260712,1
A  03LP000_008003,20260709,1
A  03LP000_008003,20260710,1
A  03LP000_008003,20260713,1
A  03LP000_008003,20260714,1
A  03LP000_008003,20260715,1
A  03SP001_008003,20260711,1
A  04LP001_008004,20260709,1
A  04LP001_008004,20260710,1
A  04LP001_008004,20260713,1
A  04LP001_008004,20260714,1
A  04LP001_008004,20260715,1
A  04SP000_008004,20260711,1
C1 01FPV00_001001,20260712,1
C1 01LPV00_001001,20260709,1
C1 01LPV00_001001,20260710,1
C1 01LPV00_001001,20260713,1
C1 01LPV00_001001,20260714,1
C1 01LPV00_001001,20260715,1
C1 01SPV00_001001,20260711,1
C1 02FPV00_001002,20260712,1
C1 02LP100_001002,20260709,1
C1 02LP100_001002,20260710,1
C1 02LP100_001002,20260713,1
C1 02LP100_001002,20260714,1
C1 02LP100_001002,20260715,1
C1 02SP101_001002,20260711,1
C1 03LP200_001003,20260709,1
C1 03LP200_001003,20260710,1
C1 03LP200_001003,20260713,1
C1 03LP200_001003,20260714,1
C1 03LP200_001003,20260715,1
C1 03SP100_001003,20260711,1
C1 04LPV00_001004,20260709,1
C1 04LPV00_001004,20260710,1
C1 04LPV00_001004,20260713,1
C1 04LPV00_001004,20260714,1
C1 04LPV00_001004,20260715,1
C3 01FPV02_003001,20260712,1
C3 01LPV01_003001,20260709,1
C3 01LPV01_003001,20260710,1
C3 01LPV01_003001,20260713,1
C3 01LPV01_003001,20260714,1
C3 01LPV01_003001,20260715,1
C3 01SPV00_003001,20260711,1
C3 02FPV01_003002,20260712,1
C3 02LPV01_003002,20260709,1
C3 02LPV01_003002,20260710,1
C3 02LPV01_003002,20260713,1
C3 02LPV01_003002,20260714,1
C3 02LPV01_003002,20260715,1
C3 02SPV01_003002,20260711,1
C3 03FPV01_003003,20260712,1
C3 03LPV01_003003,20260709,1
C3 03LPV01_003003,20260710,1
C3 03LPV01_003003,20260713,1
C3 03LPV01_003003,20260714,1
C3 03LPV01_003003,20260715,1
C3 03SPV00_003003,20260711,1
C3 04LPV04_003004,20260709,1
C3 04LPV04_003004,20260710,1
C3 04LPV04_003004,20260713,1
C3 04LPV04_003004,20260714,1
C3 04LPV04_003004,20260715,1
C3 05LPV01_003005,20260709,1
C3 05LPV01_003005,20260710,1
C3 05LPV01_003005,20260713,1
C3 05LPV01_003005,20260714,1
C3 05LPV01_003005,20260715,1
C3 06LPV01_003006,20260709,1
C3 06LPV01_003006,20260710,1
C3 06LPV01_003006,20260713,1
C3 06LPV01_003006,20260714,1
C3 06LPV01_003006,20260715,1
C3 07FPV01_003007,20260712,1
C3 07LPV01_003007,20260709,1
C3 07LPV01_003007,20260710,1
C3 07LPV01_003007,20260713,1
C3 07LPV01_003007,20260714,1
C3 07LPV01_003007,20260715,1
C3 07SPV00_003007,20260711,1
C3 08FPV01_003008,20260712,1
C3 08LPV01_003008,20260709,1
C3 08LPV01_003008,20260710,1
C3 08LPV01_003008,20260713,1
C3 08LPV01_003008,20260714,1
C3 08LPV01_003008,20260715,1
C3 08SPV01_003008,20260711,1
C3 09FPV02_003009,20260712,1
C3 09LPV01_003009,20260709,1
C3 09LPV01_003009,20260710,1
C3 09LPV01_003009,20260713,1
C3 09LPV01_003009,20260714,1
C3 09LPV01_003009,20260715,1
C3 09SPV00_003009,20260711,1
C3 10LPV01_003010,20260709,1
C3 10LPV01_003010,20260710,1
C3 10LPV01_003010,20260713,1
C3 10LPV01_003010,20260714,1
C3 10LPV01_003010,20260715,1
C3 10SPV00_003010,20260711,1
C3 11LPV01_003011,20260709,1
C3 11LPV01_003011,20260710,1
C3 11LPV01_003011,20260713,1
C3 11LPV01_003011,20260714,1
C3 11LPV01_003011,20260715,1
C3 12LPV01_003012,20260709,1
C3 12LPV01_003012,20260710,1
C3 12LPV01_003012,20260713,1
C3 12LPV01_003012,20260714,1
C3 12LPV01_003012,20260715,1
C3 13LPV04_003013,20260709,1
C3 13LPV04_003013,20260710,1
C3 13LPV04_003013,20260713,1
C3 13LPV04_003013,20260714,1
C3 13LPV04_003013,20260715,1
C3 14LPV04_003014,20260709,1
C3 14LPV04_003014,20260710,1
C3 14LPV04_003014,20260713,1
C3 14LPV04_003014,20260714,1
C3 14LPV04_003014,20260715,1
CKD01S0901_750001,20260711,1
CKD02F0300_750002,20260712,1
COM01FP102_160001,20260712,1
COM03FP105_160003,20260712,1
COM04FPV01_160004,20260712,1
COM05FP101_160005,20260712,1
COM05SC101_160005,20260711,1
H  01FP103_101001,20260712,1
H  01LP200_101001,20260709,1
H  01LP200_101001,20260710,1
H  01LP200_101001,20260713,1
H  01LP200_101001,20260714,1
